time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0,"(0, 0, 0)","(0, 0.990202, 0.139641)","(-0.99736, -0.070715, 0.016495)","(0.997355, -0.070714, 0.016828)","(-0.997727, -0.064344, 0.020019)","(0.997735, -0.064343, 0.019616)","(0.022694, -0.999177, 0.033621)","(-0.022692, -0.999177, 0.033623)","(-0.001631, -0.994963, -0.100233)","(0.001628, -0.994963, -0.100233)"
0.071795,"(-0.012844, -0.145018, -0.012817)","(-0.226238, 0.942611, 0.245563)","(-0.509884, -0.822288, -0.252707)","(0.560838, -0.764209, 0.318507)","(0.404496, 0.090981, 0.910003)","(0.059005, 0.488792, 0.870403)","(0.114513, -0.878306, 0.464183)","(-0.025177, -0.826386, 0.562541)","(-0.267658, -0.755092, -0.598495)","(0.280678, -0.802243, -0.526903)"
0.088341,"(-0.037573, -0.130753, -0.012461)","(-0.221937, 0.943263, 0.24698)","(-0.452499, -0.710973, -0.538295)","(0.393385, -0.800248, 0.452606)","(-0.001352, -0.209342, 0.977842)","(-0.054331, 0.594118, 0.802541)","(0.12713, -0.890077, 0.437722)","(-0.005568, -0.825104, 0.564954)","(-0.212742, -0.791711, -0.572655)","(0.276744, -0.797348, -0.53633)"
0.10512,"(-0.045613, -0.122922, -0.012274)","(-0.219524, 0.943887, 0.246751)","(-0.42399, -0.68533, -0.592078)","(0.347032, -0.803825, 0.483151)","(-0.117263, -0.306613, 0.944583)","(-0.108561, 0.598682, 0.793596)","(0.125123, -0.897447, 0.423005)","(-0.001195, -0.825849, 0.56389)","(-0.190407, -0.807562, -0.558202)","(0.265803, -0.799494, -0.538664)"
0.137424,"(-0.062239, -0.104131, -0.011832)","(-0.212916, 0.945822, 0.245127)","(-0.372628, -0.64638, -0.665839)","(0.257777, -0.801746, 0.539216)","(-0.317873, -0.474203, 0.821029)","(-0.236937, 0.585123, 0.775559)","(0.114561, -0.916126, 0.384174)","(0.0089, -0.828301, 0.560213)","(-0.138501, -0.84309, -0.519631)","(0.236798, -0.809671, -0.536992)"
0.170799,"(-0.077566, -0.086014, -0.010987)","(-0.204718, 0.948426, 0.242031)","(-0.336168, -0.612664, -0.715286)","(0.174617, -0.785904, 0.593181)","(-0.462269, -0.567881, 0.681042)","(-0.364954, 0.562353, 0.742003)","(0.100965, -0.935381, 0.338923)","(0.019415, -0.829738, 0.557815)","(-0.087345, -0.875623, -0.475031)","(0.195665, -0.822679, -0.533774)"
0.20435,"(-0.092573, -0.070808, -0.009906)","(-0.194438, 0.95183, 0.237093)","(-0.305361, -0.565473, -0.766156)","(0.084543, -0.753228, 0.652304)","(-0.581847, -0.594961, 0.554504)","(-0.488173, 0.544322, 0.682203)","(0.087968, -0.952513, 0.291514)","(0.032652, -0.825056, 0.564107)","(-0.03814, -0.90274, -0.428493)","(0.140955, -0.836499, -0.52953)"
0.237898,"(-0.107579, -0.060823, -0.00846)","(-0.18139, 0.956248, 0.229539)","(-0.27427, -0.497508, -0.822959)","(-0.022526, -0.701386, 0.712426)","(-0.694338, -0.558821, 0.453446)","(-0.599287, 0.536202, 0.594426)","(0.079014, -0.965072, 0.249787)","(0.053264, -0.810571, 0.583214)","(0.007563, -0.921346, -0.388671)","(0.07259, -0.848484, -0.524219)"
0.270383,"(-0.120723, -0.058208, -0.006702)","(-0.166956, 0.961171, 0.219718)","(-0.251366, -0.426294, -0.868958)","(-0.132536, -0.634078, 0.761826)","(-0.788402, -0.478296, 0.386854)","(-0.682364, 0.538912, 0.493916)","(0.070796, -0.970545, 0.230283)","(0.083395, -0.792635, 0.603966)","(0.036508, -0.926923, -0.373473)","(0.006038, -0.853161, -0.521612)"
0.304046,"(-0.132368, -0.062219, -0.004479)","(-0.150831, 0.966651, 0.20697)","(-0.246991, -0.36255, -0.898639)","(-0.251279, -0.557669, 0.791116)","(-0.859952, -0.375453, 0.345713)","(-0.740499, 0.547683, 0.389492)","(0.051512, -0.969914, 0.237936)","(0.129868, -0.771696, 0.622591)","(0.056336, -0.920308, -0.387118)","(-0.067313, -0.850728, -0.521279)"
