time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0.00341245, -0.0332281, -6.28084e-06)","(-0.198051, 0.933836, 0.29787)","(0.0169901, -0.989612, -0.142756)","(0.874024, -0.485649, 0.0150941)","(0, 0, 0)","(-0.566379, -0.818384, -0.0972764)","(-0.386011, -0.869655, 0.307727)","(-0.0380881, -0.672869, 0.73878)","(0, 0, 0)","(0, 0, 0)",1
0.0333333,"(0.00431119, -0.0407589, -1.8534e-05)","(-0.199761, 0.946391, 0.253851)","(-0.00833419, -0.98995, -0.141171)","(0.869457, -0.493027, 0.031126)","(0, 0, 0)","(-0.593791, -0.80343, -0.043731)","(-0.434181, -0.864879, 0.251936)","(-0.0876018, -0.684641, 0.723597)","(0, 0, 0)","(0, 0, 0)",0
0.0666667,"(0.00516406, -0.04519, -2.77292e-05)","(-0.200741, 0.967421, 0.15427)","(-0.111849, -0.973668, -0.198648)","(0.858442, -0.511068, 0.0434485)","(-0.611306, -0.656765, 0.441548)","(-0.623507, -0.777583, 0.0812665)","(-0.495108, -0.849185, 0.183718)","(-0.126115, -0.695727, 0.707148)","(0, 0, 0)","(0, 0, 0)",0
0.1,"(0.00711526, -0.0572819, -4.16448e-05)","(-0.201414, 0.974189, 0.10192)","(-0.259424, -0.920976, -0.290694)","(0.851679, -0.522222, 0.0438985)","(-0.78502, -0.38211, 0.487582)","(-0.621206, -0.770276, 0.144149)","(-0.497151, -0.854644, 0.14975)","(-0.193639, -0.786832, 0.586003)","(0, 0, 0)","(0, 0, 0)",0
0.133333,"(0.00852739, -0.0610808, -5.68453e-05)","(-0.201871, 0.97715, 0.0665199)","(-0.402951, -0.831775, -0.381813)","(0.845569, -0.532551, 0.037454)","(-0.810855, -0.320754, 0.489522)","(-0.59828, -0.780651, 0.180681)","(-0.475422, -0.864251, 0.164451)","(-0.204117, -0.866821, 0.454926)","(0, 0, 0)","(0, 0, 0)",0
0.166667,"(0.00852739, -0.0610808, -5.68453e-05)","(-0.205177, 0.976606, 0.0643657)","(-0.445725, -0.799929, -0.4018)","(0.845318, -0.532861, 0.0386954)","(-0.801034, -0.345547, 0.488816)","(-0.585826, -0.793951, 0.162636)","(-0.464781, -0.867467, 0.177427)","(-0.233426, -0.919857, 0.315238)","(0, 0, 0)","(0, 0, 0)",0
0.2,"(0.0103647, -0.0597564, -6.42492e-05)","(-0.208463, 0.975185, 0.0745451)","(-0.391043, -0.840254, -0.375579)","(0.849246, -0.526655, 0.0376349)","(-0.589433, -0.684251, 0.429383)","(-0.58574, -0.791546, 0.174252)","(-0.46945, -0.861434, 0.193772)","(-0.264645, -0.920304, 0.288104)","(0, 0, 0)","(0, 0, 0)",0
0.233333,"(0.0103647, -0.0597564, -6.42492e-05)","(-0.210857, 0.973313, 0.0905605)","(-0.294679, -0.896476, -0.330901)","(0.855021, -0.516909, 0.0417519)","(-0.305183, -0.898511, 0.315502)","(-0.58698, -0.786529, 0.191902)","(-0.477847, -0.853866, 0.20634)","(-0.295314, -0.91383, 0.278756)","(0, 0, 0)","(0, 0, 0)",0
0.266667,"(0.0116993, -0.0581768, -5.67542e-05)","(-0.211497, 0.97152, 0.106852)","(-0.216536, -0.930589, -0.295154)","(0.859025, -0.509655, 0.0482542)","(-0.155124, -0.956891, 0.245553)","(-0.580879, -0.784407, 0.21745)","(-0.492373, -0.845477, 0.20673)","(-0.315514, -0.905984, 0.282212)","(0, 0, 0)","(0, 0, 0)",0
0.3,"(0.0116993, -0.0581768, -5.67542e-05)","(-0.212845, 0.970248, 0.115392)","(-0.176684, -0.943377, -0.280754)","(0.862484, -0.502862, 0.0570174)","(-0.131254, -0.962111, 0.238986)","(-0.578322, -0.784976, 0.222163)","(-0.511272, -0.837057, 0.194771)","(-0.346507, -0.893625, 0.28525)","(0, 0, 0)","(0, 0, 0)",0
