time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0.000300924, 0.00195569, -6.82225e-06)","(0.98399, -0.0275307, 0.176087)","(0.00166168, 0.989406, 0.145167)","(-0.178237, -0.142479, 0.973618)","(0.999808, -0.00453743, 0.0190653)","(0.00166169, 0.989406, 0.145167)","(-0.0195435, -0.145036, 0.989233)","(0.00166169, 0.989406, 0.145167)","(-0.39136, -0.883941, -0.255899)","(0.362544, -0.914689, -0.178622)","(0.591934, -0.726617, 0.348773)","(-0.563141, -0.752079, 0.342416)","(0.136879, -0.989926, 0.0361979)","(-0.210094, -0.974163, 0.082872)","(0.183473, -0.965759, -0.183434)","(0.133656, -0.951054, -0.278625)",0
0.0333333,"(0.000300924, 0.00195569, -6.82225e-06)","(0.985726, -0.0222112, 0.166884)","(-0.00188056, 0.989805, 0.142419)","(-0.168375, -0.140573, 0.975648)","(0.999948, 0.000341008, 0.0101856)","(-0.00188056, 0.989805, 0.142419)","(-0.0100674, -0.142315, 0.98977)","(-0.00188056, 0.989805, 0.142419)","(-0.390904, -0.884364, -0.255137)","(0.368968, -0.910339, -0.18747)","(0.592846, -0.727972, 0.34437)","(-0.557598, -0.751936, 0.351678)","(0.128389, -0.990953, 0.0390915)","(-0.210261, -0.973846, 0.0861109)","(0.180929, -0.965733, -0.186074)","(0.127705, -0.951528, -0.279797)",0
0.0666667,"(0.000300924, 0.00195569, -6.82225e-06)","(0.988462, -0.0125598, 0.150949)","(-0.00855519, 0.990346, 0.13835)","(-0.151234, -0.137998, 0.978818)","(0.999949, 0.00920592, -0.00416202)","(-0.00855519, 0.990346, 0.13835)","(0.00538881, -0.138277, 0.990379)","(-0.00855519, 0.990346, 0.13835)","(-0.390612, -0.884858, -0.253866)","(0.380039, -0.902703, -0.201737)","(0.593324, -0.731032, 0.336985)","(-0.546778, -0.752547, 0.367025)","(0.113515, -0.992575, 0.0436951)","(-0.210792, -0.973191, 0.0920115)","(0.17652, -0.965661, -0.190627)","(0.116991, -0.951974, -0.282947)",0
0.1,"(0.000744414, 0.00457298, -1.01701e-05)","(0.990075, -0.00648362, 0.140391)","(-0.0129819, 0.99044, 0.137332)","(-0.139938, -0.137771, 0.980529)","(0.999842, 0.014532, -0.0102849)","(-0.0129819, 0.99044, 0.137332)","(0.0121833, -0.137169, 0.990473)","(-0.0129819, 0.99044, 0.137332)","(-0.391021, -0.884769, -0.253549)","(0.385829, -0.899222, -0.206244)","(0.594224, -0.732166, 0.332912)","(-0.539444, -0.755664, 0.371445)","(0.106196, -0.993238, 0.0469133)","(-0.211387, -0.972552, 0.0972572)","(0.1742, -0.965409, -0.194012)","(0.11202, -0.950974, -0.288272)",0
0.133333,"(0.000744414, 0.00457298, -1.01701e-05)","(0.990954, -0.00259049, 0.134176)","(-0.0160016, 0.990399, 0.137306)","(-0.133243, -0.138203, 0.9814)","(0.999752, 0.0179764, -0.013159)","(-0.0160016, 0.990399, 0.137306)","(0.0155006, -0.137057, 0.990442)","(-0.0160016, 0.990399, 0.137306)","(-0.391463, -0.88436, -0.254293)","(0.388244, -0.897781, -0.20798)","(0.59417, -0.734666, 0.327457)","(-0.533532, -0.759527, 0.372106)","(0.103313, -0.993442, 0.0489775)","(-0.212155, -0.971879, 0.102187)","(0.173022, -0.965416, -0.195026)","(0.109222, -0.949479, -0.29421)",0
0.166667,"(0.000744414, 0.00457298, -1.01701e-05)","(0.991511, -0.000266727, 0.130024)","(-0.0177369, 0.990373, 0.137282)","(-0.128809, -0.138421, 0.981961)","(0.999679, 0.0200491, -0.015484)","(-0.0177369, 0.990373, 0.137282)","(0.018087, -0.136962, 0.990411)","(-0.0177369, 0.990373, 0.137282)","(-0.391282, -0.883953, -0.255978)","(0.388563, -0.896695, -0.21203)","(0.594959, -0.738377, 0.317527)","(-0.530098, -0.764442, 0.366913)","(0.102736, -0.993393, 0.0511446)","(-0.212859, -0.971092, 0.108031)","(0.17248, -0.965691, -0.194141)","(0.10775, -0.947747, -0.300277)",0
0.2,"(0.00108978, 0.00704708, -9.45483e-06)","(0.991858, 0.000887011, 0.127342)","(-0.0185342, 0.990332, 0.137474)","(-0.125989, -0.138715, 0.982286)","(0.999613, 0.0212059, -0.0179864)","(-0.0185342, 0.990332, 0.137474)","(0.020728, -0.137087, 0.990342)","(-0.0185342, 0.990332, 0.137474)","(-0.391263, -0.883207, -0.25857)","(0.387809, -0.895413, -0.218722)","(0.597702, -0.741478, 0.304897)","(-0.529931, -0.770446, 0.354381)","(0.102966, -0.993281, 0.052826)","(-0.213498, -0.970324, 0.113537)","(0.172425, -0.966154, -0.191877)","(0.107384, -0.946393, -0.304645)",0
0.233333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992102, 0.00153169, 0.125426)","(-0.0190374, 0.990179, 0.138504)","(-0.123982, -0.139797, 0.982388)","(0.999551, 0.0220555, -0.0202695)","(-0.0190374, 0.990179, 0.138503)","(0.0231256, -0.138054, 0.990155)","(-0.0190374, 0.990179, 0.138503)","(-0.390104, -0.882718, -0.261969)","(0.386583, -0.893882, -0.226999)","(0.604292, -0.741368, 0.291897)","(-0.532254, -0.77754, 0.334869)","(0.103068, -0.993213, 0.0538969)","(-0.214073, -0.969669, 0.117965)","(0.172696, -0.966625, -0.18924)","(0.107444, -0.94575, -0.306616)",0
0.266667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992274, 0.00193022, 0.124052)","(-0.0194815, 0.989897, 0.140441)","(-0.122528, -0.141772, 0.982287)","(0.999437, 0.0231273, -0.024318)","(-0.0194815, 0.989897, 0.140441)","(0.027321, -0.139886, 0.989791)","(-0.0194815, 0.989897, 0.140441)","(-0.387911, -0.882268, -0.266699)","(0.385324, -0.892714, -0.23364)","(0.612966, -0.738243, 0.281548)","(-0.535018, -0.783271, 0.316611)","(0.10321, -0.993174, 0.0543438)","(-0.214584, -0.969203, 0.120831)","(0.172893, -0.967072, -0.186762)","(0.107537, -0.945792, -0.306453)",0
0.3,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992376, 0.00213159, 0.123226)","(-0.0198713, 0.989534, 0.142925)","(-0.121631, -0.144284, 0.982033)","(0.999292, 0.0242346, -0.0287771)","(-0.0198713, 0.989534, 0.142925)","(0.0319405, -0.14225, 0.989315)","(-0.0198713, 0.989534, 0.142925)","(-0.385266, -0.881772, -0.272119)","(0.384076, -0.892135, -0.237867)","(0.621004, -0.734581, 0.273394)","(-0.537461, -0.786883, 0.303234)","(0.103333, -0.993155, 0.0544493)","(-0.215108, -0.968853, 0.122684)","(0.172817, -0.967438, -0.184929)","(0.107596, -0.94596, -0.305914)",0
