time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.467133,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0378507, 0.996612, 0.0730244)","(0.0180659, -0.893656, 0.448389)","(-0.168214, -0.906895, 0.386323)","(0.396185, -0.497173, 0.771917)","(-0.338181, -0.601328, 0.723905)","(0.00801906, -0.841723, 0.53985)","(-0.15039, -0.527881, 0.835897)","(0, 0, 0)","(0.157079, -0.345741, -0.925089)",1
0.5005,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.036572, 0.996296, 0.0778321)","(0.00857141, -0.90472, 0.42592)","(-0.164868, -0.908262, 0.384549)","(0.410957, -0.509799, 0.75579)","(-0.336689, -0.606723, 0.720089)","(0.0276828, -0.85123, 0.524062)","(-0.157877, -0.571025, 0.805608)","(0, 0, 0)","(0.149942, -0.294199, -0.943909)",0
0.533867,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.034347, 0.995544, 0.0878145)","(-0.00897301, -0.921845, 0.387454)","(-0.159085, -0.911028, 0.380422)","(0.434314, -0.528338, 0.729541)","(-0.334619, -0.617234, 0.712076)","(0.0599942, -0.864485, 0.499066)","(-0.167382, -0.647656, 0.74332)","(0, 0, 0)","(0.133725, -0.182049, -0.974154)",0
0.567233,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0331031, 0.995909, 0.0840786)","(-0.0146085, -0.930894, 0.364998)","(-0.155417, -0.909901, 0.384612)","(0.44034, -0.533968, 0.721789)","(-0.331375, -0.621388, 0.709977)","(0.0737291, -0.869407, 0.488564)","(-0.176344, -0.651317, 0.738031)","(0, 0, 0)","(0.137447, -0.192349, -0.971653)",0
0.6006,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0325084, 0.996203, 0.0807608)","(-0.0173134, -0.934483, 0.355587)","(-0.153545, -0.909134, 0.387168)","(0.440397, -0.533898, 0.721806)","(-0.329029, -0.623765, 0.708983)","(0.0750473, -0.869583, 0.48805)","(-0.180032, -0.648212, 0.739871)","(0, 0, 0)","(0.141154, -0.193988, -0.970796)",0
0.633967,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0321254, 0.996643, 0.0753052)","(-0.0184446, -0.934421, 0.355692)","(-0.152376, -0.908012, 0.39025)","(0.438271, -0.533261, 0.723569)","(-0.32734, -0.624957, 0.708715)","(0.0707197, -0.868812, 0.490066)","(-0.1815, -0.64018, 0.746476)","(0, 0, 0)","(0.146534, -0.195697, -0.969655)",0
0.667333,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0317242, 0.997007, 0.0704971)","(-0.0187553, -0.932997, 0.359396)","(-0.152002, -0.906717, 0.393396)","(0.433816, -0.532326, 0.726934)","(-0.325269, -0.624934, 0.709688)","(0.0651124, -0.864967, 0.497586)","(-0.181413, -0.624009, 0.760067)","(0, 0, 0)","(0.148316, -0.203141, -0.967851)",0
0.7007,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.031244, 0.997449, 0.0641792)","(-0.0187282, -0.930177, 0.366634)","(-0.152355, -0.904432, 0.398485)","(0.428301, -0.531497, 0.7308)","(-0.323349, -0.625347, 0.710202)","(0.0600115, -0.859669, 0.507314)","(-0.181585, -0.602447, 0.777229)","(0, 0, 0)","(0.14942, -0.220089, -0.963968)",0
0.734067,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.030888, 0.997646, 0.0612311)","(-0.0185308, -0.928483, 0.370913)","(-0.154114, -0.902628, 0.401886)","(0.423128, -0.529948, 0.734927)","(-0.320904, -0.625079, 0.711545)","(0.0560334, -0.853584, 0.517934)","(-0.182777, -0.579018, 0.794563)","(0, 0, 0)","(0.148433, -0.244558, -0.958206)",0
0.767433,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.030574, 0.997859, 0.0578198)","(-0.0181887, -0.926642, 0.375505)","(-0.155958, -0.900791, 0.405281)","(0.419456, -0.52885, 0.737818)","(-0.319597, -0.625399, 0.711852)","(0.0544221, -0.850236, 0.523582)","(-0.185876, -0.556483, 0.8098)","(0, 0, 0)","(0.149773, -0.272251, -0.950498)",0
0.8008,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0304097, 0.997927, 0.0567105)","(-0.0180259, -0.925369, 0.378639)","(-0.157524, -0.899848, 0.406768)","(0.415687, -0.527381, 0.740995)","(-0.319216, -0.625053, 0.712327)","(0.0533344, -0.847759, 0.527693)","(-0.188284, -0.54059, 0.819946)","(0, 0, 0)","(0.150602, -0.290391, -0.944983)",0
0.834167,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0303114, 0.998012, 0.055258)","(-0.0179897, -0.923784, 0.382492)","(-0.158177, -0.898901, 0.408605)","(0.412468, -0.526944, 0.743102)","(-0.319651, -0.624635, 0.712498)","(0.0523295, -0.84597, 0.530656)","(-0.189797, -0.53075, 0.826003)","(0, 0, 0)","(0.151201, -0.299503, -0.942038)",0
