time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.00597484, 0.994876, 0.100928)","(0.206027, -0.978342, -0.0199828)","(-0.293259, -0.952258, 0.0848787)","(-0.179632, -0.915501, -0.359987)","(0.122717, -0.949362, -0.289227)","(0.0337902, -0.976771, -0.211603)","(-0.0772374, -0.984784, -0.155675)","(0.124585, -0.986393, -0.107271)","(0.207393, -0.963922, -0.166862)",1
0.0333333,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.00748093, 0.994983, 0.0997597)","(0.198316, -0.979662, -0.0305481)","(-0.296619, -0.951203, 0.0850257)","(-0.180533, -0.920282, -0.347116)","(0.114306, -0.955082, -0.273409)","(0.033468, -0.977537, -0.208089)","(-0.0719546, -0.987553, -0.139864)","(0.125066, -0.987126, -0.0997056)","(0.209342, -0.965362, -0.155732)",0
0.0666667,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0100951, 0.995175, 0.0975979)","(0.184432, -0.98162, -0.0490547)","(-0.302436, -0.949308, 0.0857159)","(-0.182082, -0.928434, -0.323816)","(0.0997649, -0.964369, -0.245028)","(0.0328082, -0.978838, -0.201988)","(-0.0623656, -0.991791, -0.111626)","(0.125928, -0.988235, -0.0867921)","(0.212797, -0.967591, -0.13596)",0
0.1,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0116783, 0.995205, 0.0971098)","(0.177941, -0.982435, -0.0561986)","(-0.305592, -0.948214, 0.0866272)","(-0.183843, -0.929587, -0.319484)","(0.0934993, -0.967686, -0.234183)","(0.0320954, -0.979299, -0.19986)","(-0.0568835, -0.992585, -0.107424)","(0.126905, -0.988457, -0.0827546)","(0.213151, -0.967549, -0.135707)",0
0.133333,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0124977, 0.995255, 0.0964956)","(0.173909, -0.98308, -0.0575198)","(-0.306899, -0.947708, 0.0875362)","(-0.18482, -0.930092, -0.317443)","(0.0907557, -0.969102, -0.229356)","(0.0315069, -0.979487, -0.199028)","(-0.053912, -0.992963, -0.105443)","(0.12756, -0.988492, -0.0813193)","(0.212873, -0.967616, -0.135665)",0
0.166667,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0128321, 0.995353, 0.0954392)","(0.171329, -0.983672, -0.0550983)","(-0.30718, -0.947577, 0.08797)","(-0.185082, -0.930885, -0.314957)","(0.0895134, -0.969653, -0.22751)","(0.0310974, -0.979622, -0.198429)","(-0.0525776, -0.993388, -0.10206)","(0.127892, -0.988544, -0.0801579)","(0.2126, -0.968034, -0.133086)",0
0.2,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0128495, 0.995458, 0.0943344)","(0.169953, -0.984136, -0.0509169)","(-0.306974, -0.94762, 0.088225)","(-0.184257, -0.931718, -0.312971)","(0.0891805, -0.969873, -0.226699)","(0.0309004, -0.979766, -0.197746)","(-0.052198, -0.993881, -0.0973445)","(0.127952, -0.988645, -0.0788056)","(0.212646, -0.968536, -0.129302)",0
0.233333,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0126366, 0.995576, 0.0931062)","(0.169636, -0.984396, -0.0467809)","(-0.306683, -0.947701, 0.0883626)","(-0.18334, -0.93264, -0.310755)","(0.089521, -0.969833, -0.226736)","(0.0307842, -0.979914, -0.197028)","(-0.0520899, -0.99437, -0.0922776)","(0.127962, -0.988743, -0.0775391)","(0.213105, -0.968946, -0.125422)",0
0.266667,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0121738, 0.995703, 0.0918034)","(0.169532, -0.984555, -0.0437001)","(-0.306343, -0.947792, 0.0885662)","(-0.182678, -0.933838, -0.307532)","(0.0896861, -0.969749, -0.227032)","(0.0304693, -0.980076, -0.19627)","(-0.0521359, -0.99485, -0.0869251)","(0.128299, -0.988741, -0.077006)","(0.213839, -0.96917, -0.122402)",0
0.3,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0115586, 0.995847, 0.0903073)","(0.169002, -0.984688, -0.0427581)","(-0.305995, -0.947893, 0.0886857)","(-0.182431, -0.935076, -0.303895)","(0.0893179, -0.969698, -0.227395)","(0.0301461, -0.980278, -0.195313)","(-0.0522382, -0.995272, -0.0818795)","(0.128922, -0.98867, -0.0768797)","(0.214973, -0.969192, -0.120223)",0
0.333333,"(-0.000375708, -0.000418901, 2.73033e-07)","(0.0109316, 0.995914, 0.0896424)","(0.167723, -0.984875, -0.0434675)","(-0.305724, -0.948043, 0.0880242)","(-0.181925, -0.936229, -0.300631)","(0.0880519, -0.969593, -0.228333)","(0.0296428, -0.980454, -0.194505)","(-0.0522369, -0.995623, -0.0774982)","(0.1307, -0.988409, -0.0772318)","(0.217361, -0.968766, -0.119362)",0
0.366667,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.010243, 0.995841, 0.090529)","(0.167045, -0.984832, -0.0469193)","(-0.305588, -0.948264, 0.0860893)","(-0.18052, -0.936527, -0.300549)","(0.0868168, -0.969439, -0.229459)","(0.0294818, -0.980544, -0.194071)","(-0.0521186, -0.995935, -0.0734651)","(0.132816, -0.988113, -0.0774156)","(0.220109, -0.96827, -0.118341)",0
0.4,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.00925435, 0.995572, 0.093546)","(0.167309, -0.984567, -0.0513328)","(-0.303395, -0.949372, 0.0815127)","(-0.176918, -0.936647, -0.302313)","(0.0832679, -0.969268, -0.231485)","(0.0289874, -0.980198, -0.195887)","(-0.0516316, -0.996111, -0.0713948)","(0.13527, -0.987598, -0.0797054)","(0.222065, -0.967771, -0.118771)",0
0.433333,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.00834393, 0.994805, 0.101455)","(0.168587, -0.984117, -0.0556156)","(-0.300466, -0.950145, 0.0833407)","(-0.173133, -0.937436, -0.302057)","(0.0797533, -0.968911, -0.234203)","(0.0291596, -0.978746, -0.202991)","(-0.0476514, -0.995845, -0.0776045)","(0.143726, -0.98875, -0.0414252)","(0.224503, -0.971481, -0.0763156)",0
0.466667,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0104078, 0.994472, 0.104483)","(0.164205, -0.984908, -0.0547075)","(-0.293081, -0.951793, 0.0905183)","(-0.163947, -0.941882, -0.293223)","(0.0708322, -0.972637, -0.221269)","(0.033714, -0.974349, -0.222502)","(-0.0446861, -0.995229, -0.0867331)","(0.165039, -0.976919, 0.135613)","(0.234663, -0.966275, 0.106047)",0
0.5,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0140165, 0.993182, 0.115728)","(0.158744, -0.986547, -0.0390598)","(-0.286893, -0.950499, 0.119349)","(-0.15155, -0.958684, -0.240744)","(0.0613327, -0.9828, -0.174194)","(0.0419922, -0.965427, -0.257268)","(-0.045538, -0.993439, -0.104908)","(0.184867, -0.908083, 0.375778)","(0.244225, -0.907909, 0.34067)",0
