time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(1.71264e-05, 0.00368069, 3.28986e-06)","(-0.0244036, 0.893109, 0.449177)","(-0.254214, -0.94006, -0.227293)","(0.0980994, -0.944228, -0.31434)","(0.0874227, -0.949803, 0.300385)","(0.157997, -0.929077, 0.334444)","(0.0344259, -0.999345, -0.0111327)","(-0.150427, -0.988594, 0.00730293)","(-0.0612998, -0.958674, -0.277825)","(-0.00785618, -0.958114, -0.286279)",1
0.0333667,"(1.71264e-05, 0.00368069, 3.28986e-06)","(-0.0244201, 0.893643, 0.448113)","(-0.249859, -0.93785, -0.24085)","(0.100443, -0.947114, -0.304772)","(0.090546, -0.950739, 0.296474)","(0.160752, -0.929, 0.333342)","(0.0354949, -0.999231, -0.0166552)","(-0.154031, -0.988016, 0.00991528)","(-0.0531408, -0.96218, -0.267181)","(-0.00183246, -0.958979, -0.28347)",0
0.0667333,"(1.71264e-05, 0.00368069, 3.28986e-06)","(-0.0244611, 0.892588, 0.450208)","(-0.242004, -0.934342, -0.261608)","(0.104866, -0.95344, -0.282764)","(0.0969861, -0.951226, 0.292852)","(0.166443, -0.929003, 0.33053)","(0.0420125, -0.998819, -0.0243873)","(-0.161471, -0.986696, 0.0189119)","(-0.0307997, -0.967492, -0.251021)","(0.00530103, -0.96319, -0.268771)",0
0.1001,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.025363, 0.891712, 0.451892)","(-0.235351, -0.93282, -0.272869)","(0.102894, -0.958636, -0.265387)","(0.100399, -0.94871, 0.299781)","(0.16726, -0.928695, 0.330982)","(0.0490675, -0.998336, -0.0303025)","(-0.169467, -0.985344, 0.0194545)","(-0.00561289, -0.970928, -0.239304)","(0.00963636, -0.964939, -0.262298)",0
0.133467,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0269307, 0.888132, 0.4588)","(-0.228459, -0.933397, -0.276725)","(0.100884, -0.962252, -0.252771)","(0.105297, -0.946314, 0.305617)","(0.168994, -0.92927, 0.328479)","(0.0561616, -0.997968, -0.0300929)","(-0.174044, -0.984531, 0.0201678)","(0.00798929, -0.971675, -0.236185)","(0.00893869, -0.966525, -0.256416)",0
0.166833,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0299055, 0.885122, 0.464398)","(-0.219923, -0.934044, -0.281418)","(0.100348, -0.963481, -0.248263)","(0.110199, -0.944888, 0.308289)","(0.171602, -0.929932, 0.325237)","(0.0618446, -0.997738, -0.0263297)","(-0.17578, -0.984269, 0.0177899)","(0.00235633, -0.972615, -0.23241)","(0.00561671, -0.966319, -0.257287)",0
0.2002,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.032698, 0.883532, 0.467228)","(-0.212458, -0.935075, -0.28372)","(0.0996222, -0.963538, -0.248335)","(0.112226, -0.944271, 0.309447)","(0.173703, -0.93024, 0.323236)","(0.0705273, -0.99733, -0.0189589)","(-0.177261, -0.984008, 0.0175307)","(-0.00816205, -0.973413, -0.22891)","(-0.0017207, -0.966658, -0.256066)",0
0.233567,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0348711, 0.884207, 0.465791)","(-0.206607, -0.936186, -0.284376)","(0.0991141, -0.963227, -0.249741)","(0.112575, -0.943408, 0.311943)","(0.17445, -0.930217, 0.322898)","(0.0790832, -0.996801, -0.0115493)","(-0.176644, -0.98413, 0.0168785)","(-0.0153393, -0.974197, -0.225179)","(-0.0106292, -0.966304, -0.257183)",0
0.266933,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0357822, 0.885824, 0.462641)","(-0.203359, -0.937671, -0.281813)","(0.0974153, -0.962864, -0.2518)","(0.112871, -0.942722, 0.313905)","(0.173412, -0.929695, 0.324954)","(0.0863062, -0.996246, -0.00668789)","(-0.176038, -0.984254, 0.0159669)","(-0.0148579, -0.974383, -0.224403)","(-0.0252565, -0.964735, -0.26201)",0
0.3003,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0365733, 0.887263, 0.459811)","(-0.200805, -0.939073, -0.27896)","(0.0963537, -0.962752, -0.252635)","(0.112991, -0.940896, 0.319293)","(0.170733, -0.928734, 0.329094)","(0.091136, -0.995833, -0.00323168)","(-0.175703, -0.984344, 0.013982)","(-0.0101302, -0.974409, -0.224552)","(-0.0439913, -0.96173, -0.270445)",0
