time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0.000527461, 0.000649055, -1.30829e-05)","(0.353589, 0.0611327, -0.933401)","(-0.0130128, 0.998062, 0.0608589)","(0.935314, -0.00937645, 0.353696)","(0.239962, 0.0611553, -0.968854)","(-0.0130128, 0.998062, 0.0608589)","(0.970712, -0.00212877, 0.240235)","(-0.0130128, 0.998062, 0.0608589)","(0.0189354, 0.575004, 0.817931)","(0, 0, 0)","(0.241341, 0.92081, 0.306373)","(0, 0, 0)","(0.119219, -0.992851, 0.00583088)","(-0.042798, -0.99308, -0.109361)","(-0.375484, -0.919517, -0.11619)","(-0.122721, -0.975061, -0.184922)",1
0.0333667,"(0.000527461, 0.000649055, -1.30829e-05)","(0.324115, 0.0583112, -0.944219)","(-0.022354, 0.998238, 0.0549647)","(0.945785, 0.00312416, 0.324779)","(0.200765, 0.0568119, -0.977991)","(-0.022354, 0.998238, 0.0549647)","(0.979424, 0.010422, 0.201545)","(-0.022354, 0.998238, 0.0549647)","(0.0423701, 0.613386, 0.788646)","(0, 0, 0)","(0.234538, 0.933177, 0.272348)","(0, 0, 0)","(0.132075, -0.99118, -0.0108989)","(-0.0381342, -0.994024, -0.102284)","(-0.357909, -0.926568, -0.115644)","(-0.138598, -0.978713, -0.151363)",0
0.0667333,"(0.0014454, 0.00273494, -1.50826e-05)","(0.248196, 0.0531836, -0.967249)","(-0.0449433, 0.997997, 0.0445301)","(0.967704, 0.0321402, 0.250031)","(0.118042, 0.0487715, -0.99181)","(-0.0449433, 0.997997, 0.0445301)","(0.992018, 0.0390031, 0.119916)","(-0.0449432, 0.997997, 0.0445301)","(0.12042, 0.651008, 0.749458)","(0, 0, 0)","(0.239635, 0.959712, 0.146725)","(0, 0, 0)","(0.151203, -0.987699, -0.0398495)","(-0.025637, -0.995487, -0.0913716)","(-0.333359, -0.935578, -0.116473)","(-0.160452, -0.980382, -0.114486)",0
0.1001,"(0.0014454, 0.00273494, -1.50826e-05)","(0.158204, 0.0413432, -0.986541)","(-0.0552771, 0.997897, 0.0338533)","(0.985905, 0.0486251, 0.160081)","(0.0689697, 0.0372402, -0.996923)","(-0.0552771, 0.997897, 0.0338533)","(0.996104, 0.0525531, 0.0708117)","(-0.0552771, 0.997897, 0.0338533)","(0.28402, 0.625886, 0.72636)","(0, 0, 0)","(0.223686, 0.962721, 0.152093)","(0, 0, 0)","(0.178079, -0.983227, -0.0394115)","(-0.0135017, -0.997605, -0.0678319)","(-0.329003, -0.939702, -0.0933617)","(-0.155994, -0.985471, -0.0671785)",0
0.133467,"(0.00288357, 0.00476536, -1.34863e-05)","(0.075728, 0.0306256, -0.996658)","(-0.060418, 0.997835, 0.0259972)","(0.995319, 0.0578565, 0.0774103)","(0.0461114, 0.0287945, -0.998521)","(-0.060418, 0.997835, 0.0259972)","(0.997106, 0.0591446, 0.0477604)","(-0.0604181, 0.997835, 0.0259972)","(0.439943, 0.623586, 0.646213)","(0, 0, 0)","(0.248925, 0.966728, 0.0589267)","(0, 0, 0)","(0.210482, -0.976861, -0.0379309)","(-0.0134534, -0.997579, -0.0682225)","(-0.359009, -0.92969, -0.0823956)","(-0.138196, -0.988539, -0.0607683)",0
0.166833,"(0.00288357, 0.00476536, -1.34863e-05)","(0.0142429, 0.0276012, -0.999518)","(-0.0543516, 0.998172, 0.0264494)","(0.998404, 0.0542552, 0.0156663)","(0.00391341, 0.0271349, -0.999624)","(-0.0543516, 0.998172, 0.0264494)","(0.998486, 0.0547495, 0.00533587)","(-0.0543517, 0.998172, 0.0264494)","(0.547185, 0.630605, 0.550387)","(0, 0, 0)","(0.367276, 0.930112, 0.000828119)","(0, 0, 0)","(0.249701, -0.967151, -0.0476278)","(-0.0200622, -0.996241, -0.0842716)","(-0.394328, -0.913032, -0.104302)","(-0.121346, -0.988465, -0.090616)",0
0.2002,"(0.00288357, 0.00476536, -1.34863e-05)","(-0.0622185, 0.0343231, -0.997472)","(-0.0409776, 0.998514, 0.0359253)","(0.997173, 0.0440811, -0.0608561)","(-0.102182, 0.0332901, -0.994208)","(-0.0409776, 0.998514, 0.0359253)","(0.993833, 0.0462802, -0.100771)","(-0.0409776, 0.998514, 0.0359253)","(0.585196, 0.619364, 0.523387)","(0, 0, 0)","(0.531574, 0.846847, 0.016685)","(0, 0, 0)","(0.277871, -0.95842, -0.0649595)","(-0.0151986, -0.995539, -0.0931174)","(-0.409561, -0.902283, -0.134702)","(-0.10251, -0.984769, -0.140431)",0
0.233567,"(0.00396823, 0.00262513, 3.43565e-06)","(-0.15244, 0.0388964, -0.987547)","(-0.0283248, 0.998683, 0.0427762)","(0.987898, 0.034727, -0.151168)","(-0.246173, 0.0358175, -0.968564)","(-0.0283248, 0.998683, 0.0427762)","(0.968796, 0.0384643, -0.244858)","(-0.0283248, 0.998683, 0.0427762)","(0.6282, 0.585902, 0.511942)","(0, 0, 0)","(0.690659, 0.722967, 0.0175922)","(0, 0, 0)","(0.284109, -0.953971, -0.0960231)","(-0.013886, -0.99508, -0.0981015)","(-0.393861, -0.906356, -0.152944)","(-0.0770549, -0.980089, -0.182997)",0
0.266933,"(0.00396823, 0.00262513, 3.43565e-06)","(-0.262924, 0.0314327, -0.964304)","(-0.0162583, 0.999215, 0.0361151)","(0.964727, 0.0241896, -0.262139)","(-0.398044, 0.0280035, -0.916939)","(-0.0162583, 0.999215, 0.0361151)","(0.917291, 0.0281521, -0.397221)","(-0.0162583, 0.999215, 0.036115)","(0.705128, 0.563404, 0.430546)","(0, 0, 0)","(0.752724, 0.654742, -0.0686926)","(0, 0, 0)","(0.266643, -0.953378, -0.141322)","(-0.017569, -0.993153, -0.115495)","(-0.358623, -0.921936, -0.146365)","(-0.0429224, -0.981797, -0.185023)",0
0.3003,"(0.00396823, 0.00262513, 3.43565e-06)","(-0.358253, 0.0185141, -0.933441)","(-0.0116013, 0.999656, 0.0235236)","(0.933594, 0.0184212, -0.357857)","(-0.50598, 0.0154765, -0.862406)","(-0.0116013, 0.999656, 0.0235236)","(0.862526, 0.0210133, -0.505576)","(-0.0116013, 0.999656, 0.0235236)","(0.779939, 0.520622, 0.347345)","(0, 0, 0)","(0.814867, 0.561332, -0.144561)","(0, 0, 0)","(0.274278, -0.941844, -0.194167)","(-0.022471, -0.987698, -0.154748)","(-0.324543, -0.939195, -0.112181)","(-0.0279666, -0.990135, -0.137296)",0
