time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
4.08,"(0.000202219, -0.000885268, 2.60158e-06)","(-0.00447534, 0.96986, 0.243623)","(-0.429934, -0.899129, 0.0819992)","(0.412342, -0.910819, 0.0195799)","(0.474178, -0.44775, 0.758074)","(-0.19604, -0.708886, 0.677532)","(0.108288, -0.989185, -0.0989262)","(-0.0555715, -0.996892, -0.0558418)","(0.116894, -0.890019, -0.440684)","(0.015346, -0.902113, -0.431226)",1
4.1,"(0.000202219, -0.000885268, 2.60158e-06)","(0.00427431, 0.965592, 0.260026)","(-0.449128, -0.893375, 0.0128129)","(0.376187, -0.921377, 0.0977109)","(0.441441, -0.569493, 0.693403)","(-0.253053, -0.60384, 0.755871)","(0.112132, -0.988006, -0.106167)","(-0.0563025, -0.996718, -0.0581601)","(0.11814, -0.872415, -0.474272)","(0.0124512, -0.883386, -0.46848)",0
4.14,"(0.000202219, -0.000885268, 2.60158e-06)","(0.0198569, 0.958225, 0.285324)","(-0.478867, -0.869311, -0.122411)","(0.291077, -0.931962, 0.216151)","(0.302455, -0.766925, 0.565992)","(-0.348676, -0.390978, 0.851799)","(0.118204, -0.987498, -0.104283)","(-0.0579983, -0.99669, -0.0569599)","(0.105402, -0.850705, -0.514968)","(0.00264251, -0.86158, -0.507614)",0
4.18,"(0.000202219, -0.000885268, 2.60158e-06)","(0.0395613, 0.948313, 0.314861)","(-0.514158, -0.816216, -0.263501)","(0.179174, -0.916902, 0.356633)","(0.10991, -0.91521, 0.387699)","(-0.433968, -0.0945432, 0.895954)","(0.124777, -0.987606, -0.0952087)","(-0.0596131, -0.996303, -0.0618619)","(0.0828178, -0.827982, -0.554606)","(-0.00407607, -0.843112, -0.537723)",0
4.2,"(0.00147932, 0.00185025, 4.94353e-06)","(0.0570686, 0.944483, 0.323566)","(-0.561558, -0.754752, -0.339119)","(0.0717931, -0.901791, 0.426167)","(-0.0257167, -0.955567, 0.293651)","(-0.461476, 0.111617, 0.880103)","(0.130012, -0.990446, -0.0459809)","(-0.0647962, -0.996612, -0.0506498)","(0.0531764, -0.796611, -0.602148)","(-0.014142, -0.860446, -0.509346)",0
4.24,"(0.00157466, 0.00513307, 1.16257e-05)","(0.0736236, 0.94882, 0.307116)","(-0.641728, -0.689567, -0.335681)","(-0.0211082, -0.882133, 0.470528)","(-0.0495884, -0.966486, 0.251886)","(-0.46889, 0.240078, 0.850003)","(0.1514, -0.987953, 0.0320536)","(-0.0727335, -0.996656, -0.0372246)","(0.00748821, -0.762003, -0.64753)","(-0.0194287, -0.897392, -0.440806)",0
4.28,"(0.00134578, 0.00905069, 2.02376e-05)","(0.0866661, 0.955187, 0.283031)","(-0.715223, -0.627396, -0.307946)","(-0.104256, -0.863184, 0.494008)","(-0.0525883, -0.970393, 0.235738)","(-0.461579, 0.302051, 0.834092)","(0.176787, -0.969715, 0.168522)","(-0.0838805, -0.996228, -0.0222384)","(-0.0369853, -0.733126, -0.679086)","(-0.0221938, -0.92754, -0.373065)",0
4.3,"(0.00109051, 0.0133093, 2.72094e-05)","(0.0969708, 0.962923, 0.251747)","(-0.769607, -0.565872, -0.295793)","(-0.15363, -0.840437, 0.519677)","(-0.0572076, -0.977797, 0.201596)","(-0.476432, 0.322336, 0.817992)","(0.225338, -0.895223, 0.384447)","(-0.0916529, -0.995509, -0.0237002)","(-0.0901717, -0.755901, -0.648446)","(-0.0133989, -0.945227, -0.326139)",0
4.34,"(0.000845826, 0.0165419, 3.23772e-05)","(0.103024, 0.967731, 0.229963)","(-0.786613, -0.539468, -0.300356)","(-0.164055, -0.831801, 0.530276)","(-0.0699506, -0.977456, 0.199215)","(-0.489462, 0.3128, 0.813992)","(0.248885, -0.791164, 0.558674)","(-0.0949698, -0.995032, -0.0298776)","(-0.11206, -0.779534, -0.616254)","(-0.00493591, -0.945605, -0.325281)",0
4.38,"(0.000845826, 0.0165419, 3.23772e-05)","(0.107391, 0.970493, 0.215894)","(-0.792179, -0.524363, -0.312242)","(-0.163358, -0.832166, 0.529918)","(-0.0884332, -0.976711, 0.195488)","(-0.510261, 0.304476, 0.804318)","(0.265445, -0.747996, 0.60831)","(-0.094139, -0.994965, -0.0343998)","(-0.125563, -0.783385, -0.608722)","(-0.000499712, -0.947828, -0.318783)",0
