time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0.215736, 0.00288898, -5.13507e-06)","(0.88815, 0.0202754, -0.459107)","(0.0134976, 0.997434, 0.0703067)","(0.459385, -0.0687018, 0.885576)","(0.927507, 0.0135759, -0.37356)","(0.0134976, 0.997434, 0.0703067)","(0.373586, -0.0704144, 0.924919)","(0.0134976, 0.997434, 0.0703067)","(-0.267387, -0.865161, 0.424265)","(0.350935, -0.839436, 0.41496)","(0.684886, 0.228282, 0.691967)","(0.389383, 0.486478, 0.782126)","(0.087805, -0.995864, -0.0233536)","(-0.0667389, -0.995732, 0.0637458)","(-0.195758, -0.80643, -0.557988)","(-0.0478352, -0.953658, -0.297066)",0
0.04,"(0.220078, 0.00677184, -3.35019e-06)","(0.897188, 0.0253846, -0.44092)","(0.0104892, 0.996799, 0.0792587)","(0.441602, -0.0759374, 0.893992)","(0.945331, 0.0154039, -0.325749)","(0.0104892, 0.996799, 0.0792587)","(0.326006, -0.0787137, 0.942085)","(0.0104892, 0.996799, 0.0792587)","(-0.423691, -0.850963, 0.310399)","(0.221777, -0.921154, 0.319829)","(0.634601, 0.148362, 0.758466)","(0.404806, 0.428992, 0.807526)","(0.112475, -0.993154, -0.031548)","(-0.107322, -0.992741, 0.0542812)","(-0.118231, -0.84301, -0.524743)","(-0.0531376, -0.959238, -0.277558)",0
0.08,"(0.224655, 0.00811055, -2.49598e-06)","(0.907608, 0.0330862, -0.418513)","(0.00712223, 0.995493, 0.0945668)","(0.419807, -0.0889434, 0.903245)","(0.959394, 0.0195509, -0.281392)","(0.00712223, 0.995493, 0.0945668)","(0.28202, -0.0929087, 0.954899)","(0.00712223, 0.995493, 0.0945668)","(-0.496274, -0.826912, 0.264441)","(0.149425, -0.961097, 0.232301)","(0.638394, 0.0875102, 0.764719)","(0.439285, 0.365127, 0.820799)","(0.126226, -0.991039, -0.0436986)","(-0.131572, -0.990345, 0.0436443)","(-0.0549161, -0.882844, -0.466445)","(-0.0597395, -0.960669, -0.271193)",0
0.1,"(0.228198, 0.00789784, -2.14487e-06)","(0.916866, 0.0389028, -0.397294)","(0.00318753, 0.994475, 0.104929)","(0.399211, -0.0975515, 0.911654)","(0.967817, 0.0232465, -0.250581)","(0.00318753, 0.994475, 0.104929)","(0.251666, -0.102414, 0.96238)","(0.00318754, 0.994475, 0.104929)","(-0.52659, -0.809398, 0.259959)","(0.144188, -0.973153, 0.179394)","(0.626975, 0.0553951, 0.777067)","(0.448225, 0.319676, 0.834807)","(0.11904, -0.991318, -0.0558422)","(-0.132478, -0.990935, 0.0223128)","(-0.0241576, -0.916365, -0.399614)","(-0.0673744, -0.9551, -0.288521)",0
0.14,"(0.230721, 0.00712235, -1.64149e-06)","(0.922364, 0.0435812, -0.383856)","(-0.000213319, 0.993668, 0.112354)","(0.386329, -0.103601, 0.916524)","(0.969893, 0.0275608, -0.241965)","(-0.000213319, 0.993668, 0.112354)","(0.24354, -0.108935, 0.963754)","(-0.000213315, 0.993668, 0.112354)","(-0.534908, -0.802841, 0.263286)","(0.157616, -0.97347, 0.165871)","(0.633554, 0.0342857, 0.772939)","(0.442724, 0.308769, 0.841818)","(0.109272, -0.992262, -0.0589571)","(-0.129949, -0.991498, 0.0066894)","(-0.0337706, -0.92366, -0.381723)","(-0.0857615, -0.94924, -0.302637)",0
0.18,"(0.232777, 0.00641379, -2.1536e-07)","(0.926314, 0.0468949, -0.373823)","(-0.00327739, 0.993185, 0.116506)","(0.376744, -0.106708, 0.920151)","(0.971178, 0.0309257, -0.236342)","(-0.00327739, 0.993185, 0.116506)","(0.238339, -0.112373, 0.964659)","(-0.00327739, 0.993185, 0.116506)","(-0.535315, -0.805429, 0.254405)","(0.157604, -0.974039, 0.162506)","(0.624405, 0.016849, 0.780919)","(0.435997, 0.310281, 0.844768)","(0.100793, -0.992926, -0.0627568)","(-0.130069, -0.991484, -0.00638466)","(-0.0410156, -0.925136, -0.377414)","(-0.101433, -0.941308, -0.321947)",0
0.2,"(0.235225, 0.00571276, 1.10883e-07)","(0.928403, 0.0503928, -0.368141)","(-0.00522463, 0.992427, 0.122722)","(0.371556, -0.112023, 0.921627)","(0.970507, 0.0346193, -0.238575)","(-0.00522463, 0.992427, 0.122722)","(0.241034, -0.11785, 0.963335)","(-0.00522463, 0.992427, 0.122722)","(-0.538787, -0.808218, 0.237681)","(0.150645, -0.974628, 0.16555)","(0.634909, -0.013679, 0.772466)","(0.421096, 0.315735, 0.850288)","(0.0871823, -0.993634, -0.0713547)","(-0.130544, -0.991331, -0.0148913)","(-0.0348808, -0.92052, -0.389136)","(-0.106564, -0.931753, -0.347103)",0
0.24,"(0.235225, 0.00571276, 1.10883e-07)","(0.928968, 0.0553113, -0.366005)","(-0.0073362, 0.99133, 0.131192)","(0.370126, -0.119186, 0.921304)","(0.967527, 0.0403311, -0.249529)","(-0.00733619, 0.99133, 0.131192)","(0.252692, -0.125014, 0.959436)","(-0.00733619, 0.99133, 0.131192)","(-0.54018, -0.812826, 0.21799)","(0.139157, -0.975377, 0.171098)","(0.653997, -0.0639796, 0.753787)","(0.407539, 0.319227, 0.855573)","(0.071377, -0.993878, -0.0843278)","(-0.128458, -0.991425, -0.023977)","(-0.0228729, -0.918934, -0.393748)","(-0.112318, -0.926718, -0.358577)",0
0.28,"(0.238603, 0.00417981, -2.11163e-06)","(0.928408, 0.0601675, -0.366658)","(-0.00966308, 0.990382, 0.138023)","(0.371448, -0.124588, 0.920057)","(0.96291, 0.0465117, -0.265782)","(-0.00966307, 0.990382, 0.138023)","(0.269657, -0.130282, 0.954103)","(-0.00966306, 0.990382, 0.138023)","(-0.540318, -0.817491, 0.199412)","(0.134221, -0.974966, 0.177272)","(0.670889, -0.114706, 0.732632)","(0.397377, 0.319347, 0.860296)","(0.0582126, -0.994013, -0.0924634)","(-0.124555, -0.991738, -0.0307008)","(-0.0137966, -0.916804, -0.399099)","(-0.120541, -0.92335, -0.364547)",0
0.3,"(0.240478, 0.00173478, -7.53053e-06)","(0.922947, 0.0662068, -0.379191)","(-0.00994747, 0.988932, 0.148034)","(0.384816, -0.13281, 0.913388)","(0.950549, 0.0556939, -0.30554)","(-0.00994746, 0.988932, 0.148034)","(0.310419, -0.137596, 0.940589)","(-0.00994746, 0.988932, 0.148034)","(-0.50339, -0.838703, 0.207787)","(0.148306, -0.970593, 0.189617)","(0.725527, -0.145324, 0.672675)","(0.388959, 0.323237, 0.862687)","(0.0579495, -0.995119, -0.0798791)","(-0.0981168, -0.994816, -0.0267363)","(-0.0150384, -0.911153, -0.411793)","(-0.149231, -0.906888, -0.394061)",0
