time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
4.08,"(0.000202219, -0.000885268, 2.60158e-06)","(0.999397, 0.012722, -0.0323193)","(-0.00447534, 0.96986, 0.243623)","(0.0344484, -0.243334, 0.969331)","(0.999866, 0.00816797, -0.0142173)","(-0.00447534, 0.96986, 0.243623)","(0.0157824, -0.243532, 0.969765)","(-0.00447534, 0.96986, 0.243623)","(-0.429934, -0.899129, 0.0819992)","(0.412342, -0.910819, 0.0195799)","(0.474178, -0.44775, 0.758074)","(-0.19604, -0.708886, 0.677532)","(0.108288, -0.989185, -0.0989262)","(-0.0555715, -0.996892, -0.0558418)","(0.116894, -0.890019, -0.440684)","(0.015346, -0.902113, -0.431226)",1
4.1,"(0.000202219, -0.000885268, 2.60158e-06)","(0.998936, 0.00820641, -0.0453916)","(0.00427431, 0.965592, 0.260026)","(0.0456925, -0.26012, 0.964495)","(0.999885, -0.000406852, -0.0151519)","(0.00427431, 0.965592, 0.260026)","(0.0142368, -0.260042, 0.965492)","(0.00427431, 0.965592, 0.260026)","(-0.449128, -0.893375, 0.0128129)","(0.376187, -0.921377, 0.0977109)","(0.441441, -0.569493, 0.693403)","(-0.253053, -0.60384, 0.755871)","(0.112132, -0.988006, -0.106167)","(-0.0563025, -0.996718, -0.0581601)","(0.11814, -0.872415, -0.474272)","(0.0124512, -0.883386, -0.46848)",0
4.14,"(0.000202219, -0.000885268, 2.60158e-06)","(0.99738, 0.00190403, -0.0723182)","(0.0198568, 0.958225, 0.285324)","(0.0692556, -0.28643, 0.955595)","(0.999785, -0.0185614, -0.00925197)","(0.0198568, 0.958225, 0.285324)","(0.00293414, -0.285141, 0.958481)","(0.0198569, 0.958225, 0.285324)","(-0.478867, -0.869311, -0.122411)","(0.291077, -0.931962, 0.216151)","(0.302455, -0.766925, 0.565992)","(-0.348676, -0.390978, 0.851799)","(0.118204, -0.987498, -0.104283)","(-0.0579983, -0.99669, -0.0569599)","(0.105402, -0.850705, -0.514968)","(0.00264251, -0.86158, -0.507614)",0
4.18,"(0.000202219, -0.000885268, 2.60158e-06)","(0.994018, -0.00472591, -0.109113)","(0.0395613, 0.948313, 0.314861)","(0.101757, -0.317617, 0.942743)","(0.999061, -0.0431871, 0.00346382)","(0.0395613, 0.948313, 0.314861)","(-0.0171002, -0.314147, 0.949221)","(0.0395613, 0.948313, 0.314861)","(-0.514158, -0.816216, -0.263501)","(0.179174, -0.916902, 0.356633)","(0.10991, -0.91521, 0.387699)","(-0.433968, -0.0945432, 0.895954)","(0.124777, -0.987606, -0.0952087)","(-0.0596131, -0.996303, -0.0618619)","(0.0828178, -0.827982, -0.554606)","(-0.00407607, -0.843112, -0.537723)",0
4.2,"(0.00147932, 0.00185025, 4.94353e-06)","(0.98871, -0.0084789, -0.149605)","(0.0570686, 0.944483, 0.323566)","(0.138529, -0.328859, 0.934164)","(0.997584, -0.0667954, 0.0191108)","(0.0570686, 0.944483, 0.323566)","(-0.0396241, -0.32152, 0.946073)","(0.0570686, 0.944483, 0.323566)","(-0.561558, -0.754752, -0.339119)","(0.0717931, -0.901791, 0.426167)","(-0.0257167, -0.955567, 0.293651)","(-0.461476, 0.111617, 0.880103)","(0.130012, -0.990446, -0.0459809)","(-0.0647962, -0.996612, -0.0506498)","(0.0531764, -0.796611, -0.602148)","(-0.014142, -0.860446, -0.509346)",0
4.24,"(0.00157466, 0.00513307, 1.16257e-05)","(0.980978, -0.0142628, -0.193591)","(0.0736236, 0.94882, 0.307116)","(0.179646, -0.316174, 0.931537)","(0.995808, -0.086527, 0.0296512)","(0.0736236, 0.94882, 0.307116)","(-0.0543847, -0.303508, 0.951276)","(0.0736236, 0.94882, 0.307116)","(-0.641728, -0.689567, -0.335681)","(-0.0211082, -0.882133, 0.470528)","(-0.0495884, -0.966486, 0.251886)","(-0.46889, 0.240078, 0.850003)","(0.1514, -0.987953, 0.0320536)","(-0.0727335, -0.996656, -0.0372246)","(0.00748821, -0.762003, -0.64753)","(-0.0194287, -0.897392, -0.440806)",0
4.28,"(0.00134578, 0.00905069, 2.02376e-05)","(0.972922, -0.0206926, -0.230207)","(0.0866661, 0.955187, 0.283031)","(0.214348, -0.29566, 0.930935)","(0.994217, -0.1009, 0.0367789)","(0.0866661, 0.955187, 0.283031)","(-0.0634866, -0.278177, 0.958429)","(0.0866661, 0.955187, 0.283031)","(-0.715223, -0.627396, -0.307946)","(-0.104256, -0.863184, 0.494008)","(-0.0525883, -0.970393, 0.235738)","(-0.461579, 0.302051, 0.834092)","(0.176787, -0.969715, 0.168522)","(-0.0838805, -0.996228, -0.0222384)","(-0.0369853, -0.733126, -0.679086)","(-0.0221938, -0.92754, -0.373065)",0
4.3,"(0.00109051, 0.0133093, 2.72094e-05)","(0.967467, -0.0318532, -0.250985)","(0.0969708, 0.962923, 0.251747)","(0.233848, -0.267922, 0.93463)","(0.992253, -0.113036, 0.0515379)","(0.0969708, 0.962923, 0.251747)","(-0.077985, -0.244736, 0.966448)","(0.0969708, 0.962923, 0.251747)","(-0.769607, -0.565872, -0.295793)","(-0.15363, -0.840437, 0.519677)","(-0.0572076, -0.977797, 0.201596)","(-0.476432, 0.322336, 0.817992)","(0.225338, -0.895223, 0.384447)","(-0.0916529, -0.995509, -0.0237002)","(-0.0901717, -0.755901, -0.648446)","(-0.0133989, -0.945227, -0.326139)",0
4.34,"(0.000845826, 0.0165419, 3.23772e-05)","(0.966489, -0.0426331, -0.253144)","(0.103024, 0.967731, 0.229963)","(0.235375, -0.248292, 0.939654)","(0.99052, -0.120628, 0.0657118)","(0.103024, 0.967731, 0.229963)","(-0.0912358, -0.220944, 0.97101)","(0.103024, 0.967731, 0.229963)","(-0.786613, -0.539468, -0.300356)","(-0.164055, -0.831801, 0.530276)","(-0.0699506, -0.977456, 0.199215)","(-0.489462, 0.3128, 0.813992)","(0.248885, -0.791164, 0.558674)","(-0.0949698, -0.995032, -0.0298776)","(-0.11206, -0.779534, -0.616254)","(-0.00493591, -0.945605, -0.325281)",0
4.38,"(0.000845826, 0.0165419, 3.23772e-05)","(0.96659, -0.0510531, -0.251191)","(0.107391, 0.970493, 0.215894)","(0.232779, -0.235645, 0.943549)","(0.988063, -0.128277, 0.0853057)","(0.107391, 0.970493, 0.215894)","(-0.110477, -0.20415, 0.972686)","(0.107391, 0.970493, 0.215894)","(-0.792179, -0.524363, -0.312242)","(-0.163358, -0.832166, 0.529918)","(-0.0884332, -0.976711, 0.195488)","(-0.510261, 0.304476, 0.804318)","(0.265445, -0.747996, 0.60831)","(-0.094139, -0.994965, -0.0343998)","(-0.125563, -0.783385, -0.608722)","(-0.000499712, -0.947828, -0.318783)",0
4.4,"(0.000845826, 0.0165419, 3.23772e-05)","(0.968913, -0.0533936, -0.24157)","(0.10744, 0.970289, 0.216785)","(0.22284, -0.236033, 0.945849)","(0.987214, -0.129972, 0.0922867)","(0.10744, 0.970289, 0.216785)","(-0.117717, -0.204099, 0.971847)","(0.10744, 0.970289, 0.216785)","(-0.786515, -0.548565, -0.283674)","(-0.132942, -0.850116, 0.509538)","(-0.0919314, -0.967253, 0.236578)","(-0.54301, 0.280637, 0.791444)","(0.248944, -0.894231, 0.371992)","(-0.0935996, -0.995609, -0.00121727)","(-0.0911512, -0.781868, -0.616744)","(-0.0051242, -0.943471, -0.331416)",0
4.44,"(0.000113094, 0.0132779, 2.3938e-05)","(0.97385, -0.0478732, -0.222093)","(0.102591, 0.964007, 0.245286)","(0.202738, -0.261946, 0.943547)","(0.98887, -0.124907, 0.080836)","(0.102591, 0.964007, 0.245286)","(-0.108473, -0.234216, 0.966114)","(0.102591, 0.964007, 0.245286)","(-0.734007, -0.616514, -0.284858)","(-0.0955967, -0.884893, 0.45588)","(-0.0684837, -0.963451, 0.258985)","(-0.589692, 0.182834, 0.786661)","(0.182203, -0.978779, 0.0937733)","(-0.0941545, -0.995051, 0.0317574)","(-0.0359663, -0.78248, -0.621636)","(-0.008465, -0.930573, -0.366009)",0
4.48,"(-0.000357962, 0.00830504, 1.80386e-05)","(0.978996, -0.0417999, -0.199547)","(0.0965946, 0.956142, 0.276517)","(0.179656, -0.290215, 0.939946)","(0.991601, -0.115742, 0.0577109)","(0.0965946, 0.956142, 0.276517)","(-0.0870642, -0.268545, 0.959324)","(0.0965946, 0.956142, 0.276517)","(-0.661095, -0.687007, -0.30162)","(-0.0580156, -0.9163, 0.396269)","(-0.0364301, -0.963267, 0.266064)","(-0.628404, 0.0698282, 0.774747)","(0.109761, -0.988169, -0.107118)","(-0.0956613, -0.993469, 0.0621899)","(0.0266155, -0.791049, -0.611173)","(-0.00970537, -0.912633, -0.408665)",0
4.5,"(-0.000833917, 0.00298864, 1.2183e-05)","(0.984051, -0.0323023, -0.174928)","(0.0845516, 0.950161, 0.300076)","(0.156494, -0.31022, 0.937696)","(0.994564, -0.0988176, 0.0328364)","(0.0845516, 0.950161, 0.300076)","(-0.0608369, -0.295532, 0.953394)","(0.0845516, 0.950161, 0.300076)","(-0.571926, -0.746831, -0.33933)","(-0.0252309, -0.953332, 0.300869)","(0.0212827, -0.966403, 0.256151)","(-0.648855, -0.11708, 0.751851)","(0.0757212, -0.995234, -0.0614397)","(-0.0889751, -0.995334, 0.0373406)","(0.0605921, -0.840375, -0.538608)","(0.00101241, -0.8968, -0.442434)",0
