time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0,"(0, 0, 0)","(0.360635, 0.900354, 0.243528)","(-0.973134, -0.062461, -0.221607)","(0.98102, 0.131213, 0.14277)","(-0.980906, -0.188227, 0.048928)","(-0.588737, 0.264852, 0.763704)","(-0.54608, -0.833783, 0.08125)","(0.638529, -0.592558, 0.491077)","(-0.671787, -0.612109, -0.417164)","(-0.159331, -0.883902, -0.439694)"
0.080841,"(0.063832, 0.000957, -0.000237)","(0.341047, 0.907079, 0.24677)","(-0.969791, -0.147335, -0.194418)","(0.980184, 0.057964, 0.18942)","(-0.957974, -0.265559, 0.108465)","(-0.545637, 0.362074, 0.755766)","(-0.474591, -0.851786, 0.221866)","(0.568571, -0.637858, 0.519485)","(-0.58499, -0.589544, -0.556979)","(-0.256143, -0.84573, -0.468115)"
0.131279,"(0.11609, 0.007086, -0.00154)","(0.234437, 0.940111, 0.247448)","(-0.819677, -0.547664, 0.167909)","(0.840462, -0.275224, 0.466771)","(-0.672081, -0.407698, 0.618134)","(-0.193487, 0.708965, 0.678182)","(-0.227299, -0.867, 0.443448)","(0.424534, -0.711357, 0.560127)","(-0.288751, -0.581949, -0.760236)","(-0.277523, -0.797497, -0.535705)"
0.180473,"(0.132729, 0.014875, -0.003507)","(0.153218, 0.961327, 0.228856)","(-0.595189, -0.571288, 0.565138)","(0.602688, -0.41525, 0.681421)","(-0.405947, -0.065997, 0.91151)","(0.086081, 0.73814, 0.669133)","(-0.053106, -0.870505, 0.489285)","(0.302467, -0.753229, 0.584089)","(-0.145708, -0.607876, -0.780549)","(-0.216968, -0.779796, -0.587233)"
0.229431,"(0.146461, 0.026636, -0.0062)","(0.095099, 0.974239, 0.204488)","(-0.44371, -0.423524, 0.789778)","(0.396607, -0.422731, 0.814863)","(-0.274185, 0.312939, 0.909336)","(0.197734, 0.675654, 0.710206)","(0.065045, -0.869835, 0.489037)","(0.160859, -0.788101, 0.594155)","(-0.059929, -0.651683, -0.75612)","(-0.11814, -0.776352, -0.619129)"
0.273209,"(0.160135, 0.044004, -0.010141)","(0.06197, 0.980618, 0.185869)","(-0.364855, -0.278432, 0.888457)","(0.272755, -0.362959, 0.890991)","(-0.203177, 0.567685, 0.79778)","(0.201167, 0.651094, 0.731853)","(0.093934, -0.878293, 0.468804)","(0.026497, -0.816595, 0.576602)","(-0.034467, -0.696441, -0.716786)","(-0.018688, -0.790923, -0.611631)"
0.320099,"(0.166357, 0.065971, -0.015331)","(0.042257, 0.984035, 0.172883)","(-0.294897, -0.125313, 0.947276)","(0.197373, -0.26504, 0.943821)","(-0.125824, 0.772418, 0.622527)","(0.180202, 0.671086, 0.719146)","(0.082751, -0.89528, 0.437752)","(-0.050093, -0.842547, 0.536289)","(-0.044148, -0.740385, -0.670732)","(0.04253, -0.817743, -0.57401)"
0.364616,"(0.166849, 0.097457, -0.022402)","(0.028103, 0.986276, 0.162699)","(-0.215232, 0.040696, 0.975715)","(0.146345, -0.126378, 0.981128)","(-0.036325, 0.924695, 0.378972)","(0.142431, 0.726926, 0.671783)","(0.071889, -0.920852, 0.383228)","(-0.076865, -0.877681, 0.473041)","(-0.03867, -0.798392, -0.600895)","(0.067513, -0.858374, -0.508562)"
0.410271,"(0.163503, 0.131144, -0.032004)","(0.018863, 0.987649, 0.155544)","(-0.149442, 0.157531, 0.976141)","(0.110449, 0.004791, 0.99387)","(0.040856, 0.984259, 0.171947)","(0.085724, 0.788527, 0.608997)","(0.063656, -0.947722, 0.312683)","(-0.062555, -0.914454, 0.399825)","(-0.02387, -0.86018, -0.509432)","(0.060277, -0.903778, -0.423736)"
0.456162,"(0.159781, 0.160563, -0.041145)","(0.009873, 0.988913, 0.148171)","(-0.121146, 0.211582, 0.969823)","(0.06799, 0.107511, 0.991876)","(0.106687, 0.992646, 0.057201)","(-0.001999, 0.832852, 0.553492)","(0.055682, -0.971603, 0.229972)","(-0.036605, -0.947485, 0.317699)","(-0.008141, -0.914603, -0.404272)","(0.042129, -0.943456, -0.328811)"
0.50499,"(0.16038, 0.176523, -0.045805)","(0.003876, 0.990052, 0.140647)","(-0.156725, 0.204125, 0.966318)","(0.011372, 0.168584, 0.985622)","(0.158757, 0.985235, 0.064094)","(-0.120763, 0.84246, 0.525049)","(0.049181, -0.983911, 0.171757)","(-0.025604, -0.96547, 0.259252)","(-0.005951, -0.943066, -0.332553)","(0.028655, -0.963462, -0.266308)"
0.557175,"(0.18123, 0.150293, -0.037851)","(0.057287, 0.986331, 0.154495)","(-0.300325, 0.10469, 0.948074)","(-0.087387, 0.218173, 0.97199)","(0.177951, 0.945662, 0.272136)","(-0.317033, 0.812573, 0.489096)","(0.060793, -0.969522, 0.237341)","(-0.024591, -0.936729, 0.34919)","(-0.071779, -0.895588, -0.439055)","(-0.025454, -0.927504, -0.372945)"
0.608238,"(0.214084, 0.113025, -0.026779)","(0.12379, 0.980996, 0.149407)","(-0.589677, -0.0842, 0.803238)","(-0.219931, 0.21175, 0.952256)","(0.008457, 0.741767, 0.670604)","(-0.585881, 0.681798, 0.438059)","(0.086519, -0.952819, 0.290947)","(-0.01225, -0.898697, 0.438399)","(-0.184863, -0.819649, -0.542219)","(-0.121279, -0.868797, -0.480087)"
0.660393,"(0.23369, 0.076007, -0.017509)","(0.17431, 0.975151, 0.136734)","(-0.861886, -0.20294, 0.464723)","(-0.302353, 0.132704, 0.943914)","(-0.388224, 0.397965, 0.831207)","(-0.784602, 0.44922, 0.427318)","(0.123038, -0.932916, 0.338422)","(0.023299, -0.853505, 0.520564)","(-0.276045, -0.734734, -0.619649)","(-0.207087, -0.799056, -0.564469)"
0.712334,"(0.221214, 0.047386, -0.010932)","(0.198973, 0.969865, 0.140608)","(-0.975137, -0.172825, 0.138705)","(-0.28127, 0.023985, 0.959329)","(-0.675287, 0.203336, 0.708973)","(-0.841218, 0.204154, 0.500673)","(0.162341, -0.901251, 0.401737)","(0.086277, -0.80416, 0.588119)","(-0.28347, -0.669885, -0.686221)","(-0.238764, -0.744014, -0.624047)"
0.766625,"(0.167638, 0.028075, -0.006518)","(0.193737, 0.965033, 0.176569)","(-0.996201, -0.086366, -0.011139)","(-0.144098, -0.079352, 0.986377)","(-0.721042, 0.207995, 0.660937)","(-0.758925, 0.011148, 0.651083)","(0.172579, -0.859666, 0.480823)","(0.164859, -0.766817, 0.620334)","(-0.167278, -0.639341, -0.750507)","(-0.186822, -0.721223, -0.667034)"
0.818672,"(0.054238, 0.015019, -0.00299)","(0.124713, 0.95527, 0.268152)","(-0.997803, 0.049736, -0.043766)","(0.231673, -0.186315, 0.954785)","(-0.519472, 0.32844, 0.788845)","(-0.401317, -0.211538, 0.891177)","(-0.008668, -0.801303, 0.598197)","(0.239588, -0.732483, 0.637234)","(-0.00476, -0.579617, -0.814875)","(-0.050453, -0.707882, -0.704526)"
0.872444,"(-0.10259, 0.006854, -0.00167)","(-0.044621, 0.934675, 0.352691)","(-0.979215, 0.202612, 0.009311)","(0.733028, -0.197427, 0.650916)","(-0.054739, 0.388774, 0.919706)","(0.27937, -0.35428, 0.892434)","(-0.329744, -0.691645, 0.64257)","(0.288201, -0.750343, 0.594917)","(0.098251, -0.605003, -0.790138)","(0.199166, -0.696033, -0.689835)"
0.93029,"(-0.27462, 0.002195, -0.000522)","(-0.246953, 0.910489, 0.331698)","(-0.939041, 0.325646, 0.110257)","(0.987036, -0.094911, 0.129431)","(0.461638, 0.284798, 0.840108)","(0.815371, -0.313488, 0.486719)","(-0.543912, -0.613959, 0.572026)","(0.364156, -0.821232, 0.439282)","(0.0715, -0.721083, -0.68915)","(0.494607, -0.649618, -0.577373)"
0.987709,"(-0.416762, 0.000093, -0.000019)","(-0.35078, 0.899952, 0.25892)","(-0.906392, 0.36242, 0.217039)","(0.970103, -0.049695, -0.23755)","(0.738118, 0.193408, 0.646356)","(0.951707, -0.27552, 0.135432)","(-0.585634, -0.653912, 0.478991)","(0.476578, -0.844301, 0.245007)","(0.09396, -0.8029, -0.588663)","(0.650838, -0.629978, -0.423719)"
1.044884,"(-0.501251, 0.000548, -0.000128)","(-0.358588, 0.905572, 0.226616)","(-0.907253, 0.268665, 0.323591)","(0.921062, -0.16606, -0.352234)","(0.767466, 0.331102, 0.548969)","(0.925764, -0.361302, 0.111452)","(-0.541763, -0.693623, 0.474742)","(0.478068, -0.849477, 0.22325)","(0.233554, -0.784651, -0.574261)","(0.661879, -0.620149, -0.421107)"
1.100571,"(-0.547719, 0.003514, -0.000899)","(-0.306803, 0.924374, 0.226727)","(-0.870162, 0.001569, 0.492763)","(0.845375, -0.476823, -0.240794)","(0.512232, 0.667701, 0.54018)","(0.791186, -0.435127, 0.429756)","(-0.469442, -0.741049, 0.480074)","(0.320376, -0.8684, 0.378471)","(0.29803, -0.751936, -0.588022)","(0.544779, -0.60191, -0.583884)"
1.154526,"(-0.563983, 0.00966, -0.002613)","(-0.213753, 0.949352, 0.230307)","(-0.672625, -0.306397, 0.67357)","(0.664924, -0.718591, 0.203722)","(0.029315, 0.743497, 0.668096)","(0.575122, -0.077845, 0.814356)","(-0.377187, -0.783844, 0.493274)","(0.118007, -0.850384, 0.512759)","(0.267337, -0.730686, -0.628195)","(0.308911, -0.645451, -0.698546)"
