time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0, 0, 0)","(-0.0075, 0.990174, 0.139636)","(-0.392812, -0.805573, 0.443566)","(0.581207, -0.647032, -0.493505)","(0.386037, -0.449561, 0.805525)","(0.921059, -0.088006, 0.379348)","(-0.086986, -0.928809, 0.360203)","(0.231773, -0.948632, 0.215357)","(-0.111534, -0.853034, -0.509797)","(-0.024847, -0.817995, -0.574689)",
0.064087,"(-0.0159, -0.001234, 0.008952)","(-0.015958, 0.990075, 0.139631)","(-0.442511, -0.79719, 0.410697)","(0.595405, -0.645809, -0.477937)","(0.31935, -0.490539, 0.810794)","(0.862217, -0.023924, 0.505974)","(-0.059813, -0.937787, 0.342022)","(0.261682, -0.94269, 0.207021)","(-0.099967, -0.847393, -0.521472)","(-0.007651, -0.813851, -0.581023)",
0.105713,"(-0.030361, -0.004601, 0.016233)","(-0.023772, 0.989919, 0.139627)","(-0.503487, -0.780561, 0.370439)","(0.617048, -0.639572, -0.458475)","(0.266303, -0.500468, 0.823781)","(0.795757, 0.024588, 0.605117)","(-0.031952, -0.943176, 0.330755)","(0.289923, -0.934459, 0.206717)","(-0.092002, -0.840283, -0.534286)","(0.008744, -0.806342, -0.591385)",
0.152062,"(-0.039137, -0.007788, 0.020177)","(-0.028565, 0.989793, 0.139622)","(-0.547792, -0.764887, 0.338927)","(0.634008, -0.632564, -0.444855)","(0.23754, -0.491956, 0.837589)","(0.75013, 0.048812, 0.659487)","(-0.013211, -0.945003, 0.326794)","(0.307397, -0.928098, 0.2101)","(-0.088772, -0.834837, -0.543293)","(0.019316, -0.800054, -0.599617)",
0.200813,"(-0.048042, -0.01198, 0.023725)","(-0.033488, 0.989639, 0.139622)","(-0.598104, -0.743419, 0.299334)","(0.651579, -0.625287, -0.42949)","(0.209022, -0.469667, 0.857743)","(0.700942, 0.0679, 0.709979)","(0.007809, -0.945551, 0.32538)","(0.325018, -0.920573, 0.216583)","(-0.087318, -0.828304, -0.553433)","(0.031062, -0.792361, -0.609261)",
0.244339,"(-0.056175, -0.016694, 0.026444)","(-0.038031, 0.989475, 0.139618)","(-0.6477, -0.71824, 0.254196)","(0.668352, -0.616699, -0.415918)","(0.17938, -0.43419, 0.882781)","(0.653606, 0.07851, 0.752752)","(0.028774, -0.944626, 0.326886)","(0.341052, -0.91264, 0.225327)","(-0.087545, -0.821425, -0.563557)","(0.042778, -0.784533, -0.618609)",
0.291206,"(-0.062203, -0.020743, 0.027983)","(-0.041455, 0.989338, 0.139615)","(-0.685845, -0.69599, 0.212638)","(0.679117, -0.609993, -0.4083)","(0.150077, -0.394752, 0.906448)","(0.617543, 0.078453, 0.782615)","(0.047302, -0.942773, 0.330064)","(0.351183, -0.906497, 0.234381)","(-0.090556, -0.815791, -0.571214)","(0.054076, -0.778132, -0.625768)",
0.33564,"(-0.067279, -0.024514, 0.028733)","(-0.044404, 0.98921, 0.139614)","(-0.718104, -0.675197, 0.168628)","(0.684172, -0.604987, -0.407307)","(0.113216, -0.347045, 0.93099)","(0.587346, 0.067512, 0.806515)","(0.065863, -0.93999, 0.334786)","(0.357656, -0.901303, 0.244407)","(-0.0958, -0.81085, -0.57736)","(0.066548, -0.772731, -0.631236)",
0.402809,"(-0.070688, -0.027233, 0.028617)","(-0.046424, 0.989117, 0.139614)","(-0.7394, -0.660684, 0.129558)","(0.680809, -0.602912, -0.415928)","(0.072601, -0.299151, 0.95144)","(0.568106, 0.046268, 0.821654)","(0.081718, -0.936814, 0.340148)","(0.359214, -0.898141, 0.25359)","(-0.102409, -0.807539, -0.580856)","(0.078642, -0.76947, -0.633823)",
0.457336,"(-0.073225, -0.029437, 0.026885)","(-0.04804, 0.98904, 0.139613)","(-0.755398, -0.650321, 0.080355)","(0.657802, -0.604268, -0.449618)","(0.002257, -0.226026, 0.974119)","(0.556578, -0.006744, 0.830768)","(0.101603, -0.931529, 0.349187)","(0.353094, -0.896855, 0.266414)","(-0.114557, -0.80576, -0.581058)","(0.097071, -0.768459, -0.632493)",
