time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0,"(0, 0.990202, 0.139641)","(-0.99736, -0.070715, 0.016495)","(0.997355, -0.070715, 0.016828)","(-0.997727, -0.064344, 0.020019)","(0.997735, -0.064343, 0.019616)","(0.022694, -0.999177, 0.033621)","(-0.022692, -0.999177, 0.033623)","(-0.001631, -0.994963, -0.100233)","(0.001629, -0.994963, -0.100233)"
0.163146,"(-0.226238, 0.942611, 0.245563)","(-0.509884, -0.822288, -0.252707)","(0.560837, -0.764209, 0.318507)","(0.404496, 0.090981, 0.910003)","(0.059005, 0.488792, 0.870403)","(0.114513, -0.878306, 0.464183)","(-0.025177, -0.826386, 0.562541)","(-0.267658, -0.755091, -0.598495)","(0.280678, -0.802243, -0.526903)"
0.180259,"(-0.202295, 0.949219, 0.240957)","(-0.328167, -0.602551, -0.727488)","(0.152424, -0.779326, 0.607797)","(-0.494496, -0.581139, 0.646338)","(-0.397398, 0.556769, 0.72944)","(0.097408, -0.940146, 0.326553)","(0.022451, -0.829461, 0.558113)","(-0.074419, -0.883297, -0.46287)","(0.182777, -0.826141, -0.532994)"
0.195603,"(-0.196898, 0.951008, 0.238359)","(-0.312097, -0.577548, -0.754343)","(0.105273, -0.762099, 0.638845)","(-0.556751, -0.594441, 0.580232)","(-0.461779, 0.547616, 0.697765)","(0.090631, -0.949032, 0.301868)","(0.029376, -0.826814, 0.561708)","(-0.048749, -0.897339, -0.438641)","(0.154139, -0.833458, -0.53065)"
0.224014,"(-0.191617, 0.95278, 0.235572)","(-0.29815, -0.551393, -0.779148)","(0.061008, -0.742705, 0.666834)","(-0.608762, -0.592235, 0.527889)","(-0.516074, 0.541258, 0.663858)","(0.085273, -0.956029, 0.280603)","(0.036645, -0.822658, 0.567354)","(-0.026926, -0.908118, -0.417848)","(0.126009, -0.839656, -0.5283)"
0.241443,"(-0.180702, 0.956482, 0.229106)","(-0.27281, -0.493869, -0.825632)","(-0.02811, -0.698537, 0.715022)","(-0.699481, -0.555627, 0.449448)","(-0.604008, 0.536078, 0.589742)","(0.078681, -0.965512, 0.248184)","(0.054515, -0.809674, 0.584343)","(0.009521, -0.92195, -0.387193)","(0.069088, -0.848916, -0.523992)"
0.472391,"(-0.173302, 0.95901, 0.2242)","(-0.259881, -0.456719, -0.850805)","(-0.083858, -0.66289, 0.744006)","(-0.750422, -0.517069, 0.411713)","(-0.650488, 0.537153, 0.536966)","(0.074624, -0.969006, 0.235497)","(0.069301, -0.800404, 0.595441)","(0.026395, -0.926172, -0.376177)","(0.033843, -0.852054, -0.522358)"
0.490361,"(-0.033716, 0.998649, 0.039545)","(-0.508333, -0.25238, -0.823348)","(-0.811799, -0.073013, 0.579355)","(-0.893668, 0.094859, 0.438587)","(-0.855462, 0.516347, -0.039634)","(-0.309152, -0.921485, 0.235141)","(0.518716, -0.621141, 0.587468)","(0.393797, -0.775046, -0.494195)","(-0.558726, -0.763142, -0.324716)"
0.508603,"(-0.02079, 0.999707, 0.012378)","(-0.532569, -0.274722, -0.800561)","(-0.836038, -0.058213, 0.545574)","(-0.880232, 0.119431, 0.459268)","(-0.86512, 0.497845, -0.060977)","(-0.327179, -0.918185, 0.223364)","(0.529135, -0.614232, 0.585436)","(0.403166, -0.771909, -0.491542)","(-0.57718, -0.762276, -0.292915)"
0.538944,"(-0.007585, 0.999901, -0.011886)","(-0.553506, -0.304166, -0.775315)","(-0.855861, -0.054278, 0.51435)","(-0.865906, 0.13582, 0.481415)","(-0.874177, 0.478474, -0.082931)","(-0.334456, -0.916553, 0.21925)","(0.529731, -0.617935, 0.580983)","(0.40747, -0.773222, -0.485898)","(-0.57998, -0.758928, -0.296061)"
0.556796,"(0.01426, 0.999049, -0.041206)","(-0.580081, -0.365274, -0.728067)","(-0.879794, -0.072334, 0.469819)","(-0.840837, 0.144403, 0.521671)","(-0.887076, 0.445505, -0.120916)","(-0.324572, -0.917753, 0.228872)","(0.511152, -0.643774, 0.569455)","(0.400859, -0.784473, -0.473195)","(-0.550849, -0.752442, -0.361105)"
0.574863,"(0.026954, 0.998475, -0.048173)","(-0.589613, -0.407725, -0.697221)","(-0.888713, -0.096054, 0.44829)","(-0.826062, 0.135718, 0.546993)","(-0.892779, 0.426994, -0.143606)","(-0.309153, -0.92048, 0.239044)","(0.493115, -0.66061, 0.566068)","(0.384084, -0.795204, -0.46918)","(-0.523846, -0.754, -0.39632)"
0.592613,"(0.039652, 0.998054, -0.048115)","(-0.595771, -0.452377, -0.663635)","(-0.895028, -0.130025, 0.426636)","(-0.811196, 0.116505, 0.573052)","(-0.897085, 0.409178, -0.166767)","(-0.286583, -0.924507, 0.251311)","(0.468587, -0.679588, 0.564435)","(0.358667, -0.808844, -0.465971)","(-0.486726, -0.758779, -0.432843)"
0.610775,"(0.051905, 0.997806, -0.041097)","(-0.598115, -0.49716, -0.628562)","(-0.898167, -0.172742, 0.404298)","(-0.795509, 0.087405, 0.599605)","(-0.899554, 0.393525, -0.189581)","(-0.257573, -0.929627, 0.263534)","(0.438097, -0.700457, 0.56341)","(0.325533, -0.824979, -0.461993)","(-0.44026, -0.765915, -0.468557)"
0.628871,"(0.064202, 0.997599, -0.025955)","(-0.597745, -0.54137, -0.591287)","(-0.89396, -0.223142, 0.388643)","(-0.778161, 0.049412, 0.626119)","(-0.901985, 0.378945, -0.206939)","(-0.223681, -0.935411, 0.273811)","(0.402021, -0.72265, 0.562278)","(0.286282, -0.842903, -0.455584)","(-0.383617, -0.775328, -0.501701)"
