time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(-0.00039043, -0.00101833, 3.26343e-06)","(0.0168423, 0.99507, 0.0977391)","(0.187209, -0.981854, -0.0302424)","(-0.287043, -0.954896, 0.0760318)","(-0.190552, -0.913364, -0.3598)","(0.0771524, -0.947469, -0.310402)","(0.0160698, -0.977176, -0.211824)","(-0.0726756, -0.984218, -0.161346)","(0.14494, -0.981409, -0.12581)","(0.212454, -0.963078, -0.165363)",1
0.0333333,"(-0.00039043, -0.00101833, 3.26343e-06)","(0.0169067, 0.99508, 0.0976204)","(0.180495, -0.982944, -0.0352399)","(-0.286916, -0.954851, 0.0770701)","(-0.187794, -0.917707, -0.350067)","(0.0776415, -0.953891, -0.289937)","(0.0165395, -0.977568, -0.209968)","(-0.067425, -0.987193, -0.144585)","(0.144574, -0.982112, -0.120644)","(0.216257, -0.964075, -0.15425)",0
0.0666667,"(-0.00039043, -0.00101833, 3.26343e-06)","(0.0171089, 0.995098, 0.0974018)","(0.168651, -0.984678, -0.0443531)","(-0.286639, -0.954821, 0.0784554)","(-0.18294, -0.925039, -0.33292)","(0.0787944, -0.963601, -0.255469)","(0.0176026, -0.978138, -0.20721)","(-0.0582884, -0.991566, -0.115759)","(0.143817, -0.983205, -0.112362)","(0.222218, -0.965548, -0.135412)",0
0.1,"(-0.00039043, -0.00101833, 3.26343e-06)","(0.0169033, 0.995038, 0.098054)","(0.16222, -0.985575, -0.0482302)","(-0.286852, -0.954753, 0.0785066)","(-0.177435, -0.927764, -0.328285)","(0.0797574, -0.966142, -0.245372)","(0.0180733, -0.978207, -0.206845)","(-0.0525222, -0.993047, -0.105349)","(0.143455, -0.983584, -0.109469)","(0.226413, -0.96471, -0.134432)",0
0.133333,"(-0.00039043, -0.00101833, 3.26343e-06)","(0.0163779, 0.994992, 0.0986011)","(0.159189, -0.985954, -0.0505279)","(-0.286854, -0.954814, 0.0777544)","(-0.172798, -0.928959, -0.327378)","(0.0805366, -0.966265, -0.244635)","(0.0184463, -0.978083, -0.207396)","(-0.0492913, -0.99361, -0.101535)","(0.1431, -0.983679, -0.10908)","(0.22886, -0.963896, -0.136117)",0
0.166667,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.0156159, 0.995021, 0.0984365)","(0.158607, -0.986018, -0.0511183)","(-0.286794, -0.954876, 0.077206)","(-0.168979, -0.929931, -0.32661)","(0.0810585, -0.965941, -0.245739)","(0.0186568, -0.978054, -0.207515)","(-0.0476196, -0.993983, -0.0986393)","(0.142821, -0.983834, -0.108038)","(0.2305, -0.963555, -0.135759)",0
0.2,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.0148726, 0.995102, 0.0977327)","(0.159402, -0.985957, -0.0497889)","(-0.287062, -0.954811, 0.0770163)","(-0.166327, -0.932177, -0.321529)","(0.081664, -0.966041, -0.245143)","(0.0188611, -0.978134, -0.207117)","(-0.0466739, -0.994294, -0.0959209)","(0.142702, -0.983983, -0.106835)","(0.231137, -0.963564, -0.134611)",0
0.233333,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.0143682, 0.995274, 0.0960324)","(0.160845, -0.985837, -0.0474819)","(-0.287489, -0.954632, 0.0776389)","(-0.164819, -0.934726, -0.314838)","(0.0827434, -0.966322, -0.243669)","(0.0192207, -0.978271, -0.206437)","(-0.046067, -0.994523, -0.0938132)","(0.142565, -0.98417, -0.105286)","(0.230875, -0.963833, -0.133127)",0
0.266667,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.0139996, 0.995429, 0.0944747)","(0.16201, -0.985709, -0.0461493)","(-0.287874, -0.95445, 0.0784461)","(-0.163802, -0.936748, -0.30931)","(0.0841366, -0.966533, -0.242354)","(0.0197867, -0.978344, -0.206039)","(-0.0456163, -0.994553, -0.0937172)","(0.142578, -0.984205, -0.104936)","(0.230469, -0.963901, -0.133341)",0
0.3,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.0138729, 0.995544, 0.0932697)","(0.162757, -0.985591, -0.0460408)","(-0.287909, -0.95437, 0.0792841)","(-0.163428, -0.937645, -0.306778)","(0.0857275, -0.966474, -0.24203)","(0.0206271, -0.978433, -0.205531)","(-0.0449906, -0.994541, -0.0941457)","(0.142725, -0.984205, -0.104739)","(0.230008, -0.963919, -0.134004)",0
