time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
3.83333,"(0.147374, 0.055275, -5.68898e-06)","(0.0321312, 0.992039, 0.121762)","(-0.0990051, -0.99278, 0.0677209)","(-0.0360536, -0.974948, -0.219491)","(0.184575, -0.975029, 0.12349)","(0, 0, 0)","(0.105993, -0.988558, -0.107321)","(-0.197328, -0.977333, -0.07669)","(-0.0772977, -0.92802, -0.364422)","(0.100727, -0.895695, -0.43311)",1
3.96667,"(0.160148, 0.0719753, -5.6962e-07)","(0.0232297, 0.989719, 0.141129)","(-0.0440547, -0.998465, 0.0335811)","(-0.000948685, -0.98421, -0.177004)","(0.211656, -0.913817, 0.346614)","(0, 0, 0)","(0.0950635, -0.988178, -0.120281)","(-0.0815495, -0.996132, -0.0327368)","(-0.047919, -0.92023, -0.388434)","(0.187719, -0.899314, -0.394963)",0
4,"(0.174755, 0.0975563, -2.89641e-07)","(0.0717846, 0.984609, 0.15935)","(-0.0532048, -0.981547, -0.183668)","(-0.0916243, -0.986291, -0.137241)","(-0.0138344, -0.931676, 0.363028)","(0, 0, 0)","(0.0694935, -0.990652, -0.117387)","(-0.151985, -0.988311, -0.0119003)","(0.032219, -0.925735, -0.376798)","(0.176937, -0.922229, -0.343784)",0
4.23333,"(0.221585, 0.132849, 5.92228e-07)","(0.0596111, 0.988568, 0.138494)","(-0.0315485, -0.9915, -0.126222)","(-0.0366024, -0.997064, -0.0672544)","(-0.0135944, -0.829078, 0.558968)","(0, 0, 0)","(0.0916343, -0.993867, -0.0618994)","(-0.13682, -0.987992, 0.0717755)","(0.0504969, -0.923187, -0.38102)","(0.178119, -0.908059, -0.379081)",0
4.26667,"(0.234759, 0.125311, -7.07526e-07)","(0.0720915, 0.990437, 0.117631)","(-0.0670296, -0.986948, -0.146423)","(-0.0752543, -0.996652, -0.0319528)","(-0.256159, -0.908659, 0.329728)","(0, 0, 0)","(0.124594, -0.992205, 0.00216678)","(-0.213067, -0.967878, 0.133469)","(0.0861674, -0.916381, -0.390924)","(0.134889, -0.899604, -0.415352)",0
4.3,"(0.239912, 0.113976, -1.87596e-06)","(0.0291917, 0.983318, 0.179536)","(-0.0717004, -0.994744, -0.0731033)","(0.0164891, -0.99787, -0.0631176)","(0.0451167, -0.874621, 0.482704)","(0.0612407, -0.92344, 0.378826)","(0.138469, -0.990278, -0.0132266)","(-0.0651195, -0.991214, 0.115127)","(0.0868897, -0.867699, -0.489438)","(0.201038, -0.848515, -0.489495)",0
4.4,"(0.251554, 0.0859968, -1.24047e-05)","(0.0183954, 0.985728, 0.167337)","(-0.0911428, -0.990474, -0.103223)","(0.0783694, -0.990515, -0.112865)","(0.122248, -0.898986, 0.42057)","(0.00287618, -0.942177, 0.335104)","(0.115855, -0.990852, -0.0692136)","(0.0250658, -0.996809, 0.0757825)","(0.0909202, -0.864743, -0.493916)","(0.293178, -0.872637, -0.390578)",0
4.43333,"(0.255901, 0.0442195, -1.97279e-05)","(0.00551467, 0.978175, 0.207711)","(-0.0969879, -0.989969, -0.102733)","(0.136141, -0.982287, -0.128756)","(0.184525, -0.878054, 0.441555)","(-0.0817402, -0.93404, 0.34769)","(0.0895915, -0.983365, -0.15801)","(0.123346, -0.991997, 0.0269811)","(0.0797218, -0.843247, -0.531582)","(0.355247, -0.858874, -0.368964)",0
4.46667,"(0.259666, 0.00770801, -2.48281e-05)","(0.00726426, 0.977703, 0.209868)","(-0.0764708, -0.991349, -0.106673)","(0.11013, -0.990092, -0.0871155)","(0.289383, -0.816957, 0.498837)","(-0.18793, -0.918771, 0.347191)","(0.0933195, -0.976359, -0.194974)","(0.10823, -0.992425, 0.0581334)","(0.0955642, -0.841207, -0.532201)","(0.355215, -0.867888, -0.347264)",0
4.5,"(0.251494, -0.00717177, -3.84743e-05)","(0.00480506, 0.97257, 0.23256)","(-0.069715, -0.994795, -0.0743146)","(0.101283, -0.994331, -0.0323591)","(0.340422, -0.746557, 0.571635)","(-0.293785, -0.880846, 0.371215)","(0.0883638, -0.97076, -0.223195)","(0.106991, -0.992721, 0.0552909)","(0.071675, -0.811086, -0.580519)","(0.344081, -0.81223, -0.471052)",0
4.53333,"(0.24639, -0.0173694, -4.03965e-05)","(0.0022574, 0.973853, 0.227167)","(-0.0275812, -0.998149, -0.0541992)","(0.0858998, -0.99619, 0.0150508)","(0.387413, -0.689913, 0.611499)","(-0.361955, -0.848032, 0.38708)","(0.106303, -0.958747, -0.263635)","(0.113292, -0.993551, 0.00450785)","(0.0548604, -0.814796, -0.577147)","(0.334015, -0.785558, -0.520895)",0
4.56667,"(0.240668, -0.0174555, -3.27961e-05)","(-0.00261364, 0.975544, 0.219787)","(0.0266559, -0.996765, -0.0758184)","(0.0769593, -0.996764, -0.0231995)","(0.404736, -0.694893, 0.594401)","(-0.378044, -0.839333, 0.390644)","(0.141471, -0.93044, -0.338033)","(0.111184, -0.988791, -0.0996476)","(0.0314812, -0.785935, -0.617508)","(0.261359, -0.755522, -0.600731)",0
4.6,"(0.234428, -0.0173985, -2.67609e-05)","(-0.00983231, 0.973779, 0.227286)","(0.0501253, -0.997845, -0.0423452)","(0.0730438, -0.997164, -0.0181525)","(0.449439, -0.66065, 0.601287)","(-0.310817, -0.874017, 0.37348)","(0.145277, -0.89393, -0.424009)","(0.0900039, -0.964296, -0.249064)","(0.0514736, -0.778898, -0.625035)","(0.202895, -0.757058, -0.621045)",0
4.63333,"(0.228473, -0.0151606, -2.56443e-05)","(-0.0139438, 0.973569, 0.227968)","(0.0255409, -0.998542, -0.0475573)","(0.0641071, -0.994151, -0.086919)","(0, 0, 0)","(-0.216679, -0.920765, 0.32441)","(0.124517, -0.876632, -0.46477)","(0.0663419, -0.940946, -0.331992)","(0.0787616, -0.770283, -0.63282)","(0.160952, -0.754772, -0.635935)",0
4.66667,"(0.224574, -0.00745636, -1.07083e-05)","(-0.0142317, 0.972034, 0.234407)","(-0.0126514, -0.999918, 0.00183427)","(0.0580023, -0.996937, -0.052462)","(0, 0, 0)","(-0.186307, -0.936592, 0.296791)","(0.0890895, -0.880909, -0.464826)","(0.0488624, -0.935057, -0.351114)","(0.105996, -0.794339, -0.598155)","(0.186355, -0.761071, -0.621323)",0
4.7,"(0.222822, -2.46763e-05, 9.59227e-07)","(-0.012051, 0.974313, 0.224874)","(-0.00843086, -0.999659, 0.0247298)","(0.0467264, -0.997294, -0.0567587)","(0, 0, 0)","(-0.218828, -0.916083, 0.336015)","(0.0945056, -0.890059, -0.445942)","(0.05042, -0.946273, -0.319413)","(0.114188, -0.807953, -0.578077)","(0.208454, -0.777455, -0.593389)",0
4.73333,"(0.221009, 0.00613467, -1.32408e-06)","(-0.0101174, 0.974338, 0.224863)","(-0.0402127, -0.997581, 0.0567071)","(0.0383877, -0.998993, -0.0232287)","(0, 0, 0)","(-0.268677, -0.886678, 0.376317)","(0.0924079, -0.895241, -0.435894)","(0.0540458, -0.953242, -0.297335)","(0.127276, -0.803457, -0.581599)","(0.239983, -0.780146, -0.577738)",0
4.76667,"(0.220183, 0.0107083, -3.31288e-06)","(-0.0108606, 0.974415, 0.224495)","(-0.108057, -0.992044, 0.0645918)","(0.0342958, -0.999361, 0.0100881)","(0, 0, 0)","(-0.27037, -0.876234, 0.398891)","(0.0859482, -0.889135, -0.449502)","(0.056807, -0.953041, -0.297466)","(0.138202, -0.788469, -0.599348)","(0.260567, -0.774833, -0.575967)",0
4.8,"(0.21989, 0.0172729, -3.75225e-06)","(-0.0127465, 0.972513, 0.232498)","(-0.139329, -0.987458, 0.0742532)","(0.0336046, -0.998312, 0.0473721)","(0, 0, 0)","(-0.2694, -0.881255, 0.388346)","(0.0738174, -0.884036, -0.461554)","(0.0636642, -0.951773, -0.300125)","(0.141074, -0.776904, -0.613611)","(0.287854, -0.764362, -0.576967)",0
4.83333,"(0.220597, 0.0254388, -7.83796e-06)","(-0.0213984, 0.973229, 0.228839)","(-0.120807, -0.990291, 0.068777)","(0.0431105, -0.997215, 0.0608514)","(0, 0, 0)","(-0.250943, -0.88398, 0.39447)","(0.071987, -0.89577, -0.43865)","(0.0802565, -0.956007, -0.282152)","(0.1279, -0.803236, -0.581767)","(0.298471, -0.787971, -0.538532)",0
4.86667,"(0.221731, 0.0334385, -1.12738e-05)","(-0.0320104, 0.973671, 0.225701)","(-0.0633214, -0.996698, 0.0508359)","(0.0520971, -0.998082, 0.0334482)","(0, 0, 0)","(-0.253208, -0.886332, 0.387688)","(0.0735378, -0.926649, -0.368666)","(0.104251, -0.966131, -0.236057)","(0.117344, -0.849238, -0.514805)","(0.308475, -0.83151, -0.46199)",0
4.9,"(0.22326, 0.0416514, -8.06013e-06)","(-0.0425598, 0.974692, 0.219463)","(-0.0506946, -0.998668, -0.00965316)","(0.0613399, -0.998024, -0.0136037)","(0, 0, 0)","(-0.246779, -0.8916, 0.379672)","(0.074807, -0.954109, -0.289967)","(0.130209, -0.97715, -0.168)","(0.111915, -0.889647, -0.442723)","(0.312283, -0.871072, -0.379094)",0
4.93333,"(0.225319, 0.0513605, -3.9679e-06)","(-0.0469143, 0.972634, 0.227555)","(-0.0600036, -0.996984, -0.0492164)","(0.0688408, -0.996466, -0.0481279)","(0, 0, 0)","(-0.240113, -0.902048, 0.358686)","(0.0747584, -0.96719, -0.242807)","(0.146397, -0.98139, -0.124265)","(0.113809, -0.901716, -0.417081)","(0.32302, -0.875687, -0.358929)",0
4.96667,"(0.228336, 0.0566769, 1.49086e-06)","(-0.0497835, 0.971791, 0.23053)","(-0.0719945, -0.993894, -0.0836148)","(0.0785966, -0.995303, -0.0565254)","(0, 0, 0)","(-0.263155, -0.895548, 0.358808)","(0.0683158, -0.972913, -0.220845)","(0.1548, -0.984074, -0.0873822)","(0.1101, -0.904265, -0.412531)","(0.332117, -0.868752, -0.367381)",0
5,"(0.231975, 0.0601903, 4.36148e-06)","(-0.0493299, 0.972167, 0.229036)","(-0.103864, -0.989802, -0.0974924)","(0.103448, -0.992707, -0.0619006)","(0, 0, 0)","(-0.26791, -0.90331, 0.335046)","(0.0423546, -0.979233, -0.198264)","(0.15889, -0.985469, -0.0600412)","(0.0829671, -0.919347, -0.3846)","(0.338197, -0.873565, -0.350009)",0
5.03333,"(0.235237, 0.063982, 6.65048e-06)","(-0.0475709, 0.974465, 0.219441)","(-0.128229, -0.986733, -0.0995771)","(0.137487, -0.988168, -0.0679752)","(0, 0, 0)","(-0.22166, -0.916792, 0.332204)","(0.00869229, -0.984964, -0.172539)","(0.164853, -0.98552, -0.0396624)","(0.0452591, -0.926543, -0.373458)","(0.332942, -0.881312, -0.335319)",0
5.06667,"(0.239515, 0.0673065, 4.02341e-06)","(-0.0443707, 0.976506, 0.210871)","(-0.150698, -0.985184, -0.0818698)","(0.171582, -0.98214, -0.0772085)","(0, 0, 0)","(-0.15336, -0.931225, 0.330608)","(-0.0186582, -0.988174, -0.152195)","(0.176116, -0.983806, -0.0332869)","(0.0136226, -0.930409, -0.366269)","(0.327575, -0.889503, -0.318558)",0
