time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
3.83333,"(0.147374, 0.055275, -5.68898e-06)","(0.912928, -0.0717678, -0.401761)","(0.0321312, 0.992039, 0.121762)","(0.392453, -0.130067, 0.910529)","(0.864245, -0.0531564, -0.500256)","(0.0321312, 0.992039, 0.121762)","(0.494271, -0.136734, 0.858487)","(0.0321312, 0.992039, 0.121762)","(-0.0990051, -0.99278, 0.0677209)","(-0.0360536, -0.974948, -0.219491)","(0.184575, -0.975029, 0.12349)","(0, 0, 0)","(0.105993, -0.988558, -0.107321)","(-0.197328, -0.977333, -0.07669)","(-0.0772977, -0.92802, -0.364422)","(0.100727, -0.895695, -0.43311)",1
3.96667,"(0.160148, 0.0719753, -5.6962e-07)","(0.982814, -0.066977, -0.172021)","(0.0232297, 0.989719, 0.141129)","(0.161481, -0.153444, 0.974874)","(0.94948, -0.0403469, -0.311223)","(0.0232297, 0.989719, 0.141129)","(0.304574, -0.158165, 0.939265)","(0.0232297, 0.989719, 0.141129)","(-0.0440547, -0.998465, 0.0335811)","(-0.000948685, -0.98421, -0.177004)","(0.211656, -0.913817, 0.346614)","(0, 0, 0)","(0.0950635, -0.988178, -0.120281)","(-0.0815495, -0.996132, -0.0327368)","(-0.047919, -0.92023, -0.388434)","(0.187719, -0.899314, -0.394963)",0
4,"(0.174755, 0.0975563, -2.89641e-07)","(0.89903, -0.097713, 0.426847)","(0.0717846, 0.984609, 0.15935)","(-0.43851, -0.119056, 0.890805)","(0.942231, -0.0753792, 0.326371)","(0.0717846, 0.984609, 0.15935)","(-0.335554, -0.130249, 0.932973)","(0.0717846, 0.984609, 0.15935)","(-0.0532048, -0.981547, -0.183668)","(-0.0916243, -0.986291, -0.137241)","(-0.0138344, -0.931676, 0.363028)","(0, 0, 0)","(0.0694935, -0.990652, -0.117387)","(-0.151985, -0.988311, -0.0119003)","(0.032219, -0.925735, -0.376798)","(0.176937, -0.922229, -0.343784)",0
4.23333,"(0.221585, 0.132849, 5.92228e-07)","(0.887637, -0.085998, 0.452443)","(0.0596111, 0.988568, 0.138494)","(-0.459413, -0.0961422, 0.883004)","(0.929074, -0.0684548, 0.363504)","(0.0596111, 0.988568, 0.138494)","(-0.368522, -0.103931, 0.923791)","(0.0596111, 0.988568, 0.138494)","(-0.0315485, -0.9915, -0.126222)","(-0.0366024, -0.997064, -0.0672544)","(-0.0135944, -0.829078, 0.558968)","(0, 0, 0)","(0.0916343, -0.993867, -0.0618994)","(-0.13682, -0.987992, 0.0717755)","(0.0504969, -0.923187, -0.38102)","(0.178119, -0.908059, -0.379081)",0
4.26667,"(0.234759, 0.125311, -7.07526e-07)","(0.891044, -0.092637, 0.444364)","(0.0720915, 0.990437, 0.117631)","(-0.451357, -0.0722066, 0.889417)","(0.935233, -0.079228, 0.345054)","(0.0720915, 0.990437, 0.117631)","(-0.350905, -0.0819117, 0.932822)","(0.0720915, 0.990437, 0.117631)","(-0.0670296, -0.986948, -0.146423)","(-0.0752543, -0.996652, -0.0319528)","(-0.256159, -0.908659, 0.329728)","(0, 0, 0)","(0.124594, -0.992205, 0.00216678)","(-0.213067, -0.967878, 0.133469)","(0.0861674, -0.916381, -0.390924)","(0.134889, -0.899604, -0.415352)",0
4.3,"(0.239912, 0.113976, -1.87596e-06)","(0.985893, -0.0549139, 0.158114)","(0.0291917, 0.983318, 0.179536)","(-0.164939, -0.170918, 0.971382)","(0.999348, -0.032348, 0.0160352)","(0.0291917, 0.983318, 0.179536)","(-0.0208681, -0.177594, 0.983882)","(0.0291917, 0.983318, 0.179536)","(-0.0717004, -0.994744, -0.0731033)","(0.0164891, -0.99787, -0.0631176)","(0.0451167, -0.874621, 0.482704)","(0.0612407, -0.92344, 0.378826)","(0.138469, -0.990278, -0.0132266)","(-0.0651195, -0.991214, 0.115127)","(0.0868897, -0.867699, -0.489438)","(0.201038, -0.848515, -0.489495)",0
4.4,"(0.251554, 0.0859968, -1.24047e-05)","(0.99429, -0.0323448, 0.10169)","(0.0183954, 0.985728, 0.167337)","(-0.105066, -0.163443, 0.980942)","(0.997592, -0.0060763, -0.0690903)","(0.0183954, 0.985728, 0.167337)","(0.0679599, -0.167568, 0.983515)","(0.0183954, 0.985728, 0.167337)","(-0.0911428, -0.990474, -0.103223)","(0.0783694, -0.990515, -0.112865)","(0.122248, -0.898986, 0.42057)","(0.00287618, -0.942177, 0.335104)","(0.115855, -0.990852, -0.0692136)","(0.0250658, -0.996809, 0.0757825)","(0.0909202, -0.864743, -0.493916)","(0.293178, -0.872637, -0.390578)",0
4.43333,"(0.255901, 0.0442195, -1.97279e-05)","(0.998812, -0.0153894, 0.0462348)","(0.00551467, 0.978175, 0.207711)","(-0.0483199, -0.207185, 0.977108)","(0.997762, 0.00666746, -0.0665309)","(0.00551467, 0.978175, 0.207711)","(0.0667203, -0.207928, 0.975866)","(0.00551467, 0.978175, 0.207711)","(-0.0969879, -0.989969, -0.102733)","(0.136141, -0.982287, -0.128756)","(0.184525, -0.878054, 0.441555)","(-0.0817402, -0.93404, 0.34769)","(0.0895915, -0.983365, -0.15801)","(0.123346, -0.991997, 0.0269811)","(0.0797218, -0.843247, -0.531582)","(0.355247, -0.858874, -0.368964)",0
4.46667,"(0.259666, 0.00770801, -2.48281e-05)","(0.998443, -0.0187689, 0.0525357)","(0.00726426, 0.977703, 0.209868)","(-0.0552372, -0.209164, 0.976319)","(0.999354, -0.00229258, -0.0358735)","(0.00726426, 0.977703, 0.209868)","(0.034807, -0.210403, 0.976995)","(0.00726426, 0.977703, 0.209868)","(-0.0764708, -0.991349, -0.106673)","(0.11013, -0.990092, -0.0871155)","(0.289383, -0.816957, 0.498837)","(-0.18793, -0.918771, 0.347191)","(0.0933195, -0.976359, -0.194974)","(0.10823, -0.992425, 0.0581334)","(0.0955642, -0.841207, -0.532201)","(0.355215, -0.867888, -0.347264)",0
4.5,"(0.251494, -0.00717177, -3.84743e-05)","(0.997615, -0.0206138, 0.0658762)","(0.00480506, 0.97257, 0.23256)","(-0.0688634, -0.231688, 0.97035)","(0.999745, -0.00972895, 0.0203543)","(0.00480506, 0.97257, 0.23256)","(-0.0220575, -0.232401, 0.97237)","(0.00480506, 0.97257, 0.23256)","(-0.069715, -0.994795, -0.0743146)","(0.101283, -0.994331, -0.0323591)","(0.340422, -0.746557, 0.571635)","(-0.293785, -0.880846, 0.371215)","(0.0883638, -0.97076, -0.223195)","(0.106991, -0.992721, 0.0552909)","(0.071675, -0.811086, -0.580519)","(0.344081, -0.81223, -0.471052)",0
